PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	4.94639	2.37265	33.449	4.03555	-18.761	18.5969	10.7654	13.4553	-4.10713	0.183142	-0.0791653	-1.00716	0.0877071	-0.0475911	-0.480947	0.0607324	-0.024195	0.117379	-0.362611	0.543603	0.181517	1.78671	0.422606	0.192857	5.36475	2.01298	35.3092	4.39801	-18.7799	20.0048	13.0192	17.2896	-8.61599	0.354854	-0.127446	-1.12498	0.15627	-0.0705756	-0.556873	0.0865446	-0.0273715	0.1402	-0.487929	0.771437	0.205404	3.77256	0.0110977	0.354157	6.13782	-0.268973	37.6975	5.2075	-20.3647	20.4238	14.4683	18.4615	-9.56594	0.251604	-0.189392	-1.36895	0.152642	-0.108106	-0.692757	0.121887	-0.0434105	0.17362	-0.520086	0.86817	0.218768	5.93134	-0.234003	0.603211	1.26305	9.17733	33.5541	7.44718	-23.2967	16.6505	1.31836	16.4914	-7.13568	0.118354	-0.00605405	-0.855468	-0.03572	0.0336535	-0.484604	-0.00628216	0.0129354	0.121454	-0.310973	0.488663	0.0781908	1.17375	1.40535	-0.0201642	2.20559	8.60388	37.7803	8.24112	-23.0711	19.1159	3.51332	17.9791	-11.6669	0.31365	-0.0249605	-1.0027	0.030685	0.0494492	-0.581591	-0.00880775	0.0381163	0.139533	-0.441077	0.590799	0.105481	3.07307	1.41579	-0.0257885	3.78937	7.64158	41.1695	8.73719	-23.2706	20.5469	4.32696	18.568	-13.8137	0.405719	-0.0402263	-1.27931	0.0584116	0.069866	-0.697905	-0.0115	0.0624912	0.168114	-0.525853	0.65503	0.13535	5.73649	1.09493	0.00922571
1	4.93643	3.00296	32.6606	4.28036	-19.3737	19.2855	10.3846	14.1225	-4.52051	0.341991	-0.0990897	-0.912516	0.182549	-0.0614063	-0.348368	0.0670445	-0.0265113	0.0954632	-0.642892	1.66721	0.325232	1.77382	0.539204	0.14321	5.54721	2.07659	33.8818	4.57653	-19.637	20.4866	12.6056	18.2964	-9.15571	0.436943	-0.15812	-1.04124	0.24143	-0.0976368	-0.365354	0.0986524	-0.0352263	0.0966215	-0.905847	2.24435	0.347657	3.16885	0.312078	0.245058	6.44533	-0.419567	35.9608	5.34937	-21.3488	20.7308	14.0383	19.5651	-10.3372	0.33875	-0.223417	-1.2873	0.24803	-0.144073	-0.462629	0.129887	-0.0618423	0.0956212	-1.00334	2.50362	0.340533	4.97147	0.314328	0.404639	1.10188	9.26961	32.929	7.98131	-23.8664	18.073	0.873063	17.006	-7.1407	0.238537	-0.0305681	-0.773118	0.041667	0.0149703	-0.385489	-0.000300541	0.000362973	0.130219	-0.531738	1.28449	0.193429	1.14068	1.45919	-0.110737	2.34145	8.6553	36.5147	8.74642	-23.9004	20.3328	3.2735	18.5091	-11.8587	0.435562	-0.0517818	-0.898033	0.113136	0.0193023	-0.436726	0.0012565	0.0190973	0.142001	-0.811041	1.57865	0.247294	2.33922	1.45341	-0.0569869	4.08608	7.62825	39.4208	9.14907	-24.2503	21.4555	4.11137	18.9333	-14.1118	0.512338	-0.0674512	-1.15807	0.143629	0.0273114	-0.507547	-0.00173233	0.0354844	0.148728	-0.996066	1.81792	0.296837	4.40158	1.35339	0.0133886
2	5.01313	3.46531	31.7685	4.61381	-19.5095	20.3884	9.36858	14.2058	-4.44837	0.501459	-0.135393	-0.832908	0.323789	-0.0722468	-0.170444	0.0788192	-0.0245005	0.0815871	-0.9499	3.40757	0.497217	1.57129	0.281124	0.08031	5.8659	2.04676	32.5065	4.84038	-19.859	21.4882	11.7504	18.4578	-9.08285	0.559833	-0.198768	-0.958619	0.38905	-0.115358	-0.111892	0.117409	-0.0314793	0.059179	-1.40403	4.47413	0.514739	2.39904	0.0583992	0.145526	6.84129	-0.556343	34.3624	5.55969	-21.6951	21.5867	13.1448	19.8663	-10.5432	0.518833	-0.261845	-1.18732	0.421867	-0.165239	-0.158885	0.138488	-0.065003	0.0123416	-1.611	4.95502	0.474887	3.7232	0.202656	0.20393	1.11244	9.29919	32.2561	8.50366	-23.83	19.9921	-0.076877	17.1185	-6.54312	0.347087	-0.0610838	-0.714566	0.143007	-0.00135351	-0.259261	0.00793784	-0.0168714	0.162269	-0.764898	2.47345	0.333542	0.986619	1.16731	-0.355957	2.70558	8.62172	35.3304	9.17454	-23.9428	22.1294	2.69935	18.5138	-11.5092	0.545541	-0.0873267	-0.812203	0.228732	-0.009395	-0.248221	0.0162432	-0.00293825	0.168877	-1.25021	3.04988	0.425156	1.57752	0.975824	-0.262585	4.52171	7.56314	37.8563	9.50867	-24.3912	22.9608	3.63274	18.7813	-13.947	0.629474	-0.10501	-1.02675	0.273457	-0.0147221	-0.258814	0.0131044	0.00569116	0.148147	-1.58292	3.55284	0.497862	3.05847	0.877431	-0.118097
3	5.21028	3.67471	30.8043	5.00757	-18.8776	21.932	7.68317	13.4692	-3.59473	0.62134	-0.175007	-0.800962	0.48353	-0.0701432	0.0462082	0.0893442	-0.0159645	0.0891005	-1.2037	5.6772	0.635413	1.24599	-0.467553	-0.0295433	6.31729	1.85205	31.2087	5.16085	-19.098	23.0121	10.3617	17.5724	-8.10517	0.72336	-0.240756	-0.914298	0.592874	-0.107106	0.189265	0.137443	-0.00611927	0.0538749	-1.87364	7.34576	0.653668	1.5459	-1.05864	0.160335	7.30967	-0.775341	32.9285	5.82979	-21.0426	22.9912	11.7279	19.17	-9.90954	0.768287	-0.302243	-1.11252	0.669019	-0.156289	0.202423	0.148863	-0.037954	-0.039416	-2.24538	8.13854	0.579567	2.39103	-0.972661	0.26171	1.32522	9.22189	31.5486	8.97188	-22.9789	22.3717	-1.56417	16.6161	-5.12108	0.402273	-0.0967289	-0.705122	0.249398	-0.0155365	-0.110208	0.0183824	-0.0449119	0.223449	-0.94943	4.00088	0.454994	0.815822	0.523167	-0.911863	3.26917	8.42142	34.2143	9.51131	-22.9299	24.4639	1.72847	17.8142	-10.3383	0.606548	-0.134675	-0.805828	0.364673	-0.0328987	-0.0322547	0.037631	-0.0297217	0.233946	-1.66712	4.93878	0.599245	1.09658	0.00196231	-0.842947	5.05947	7.33769	36.4585	9.80431	-23.3965	25.0203	2.83709	17.9591	-13.0389	0.716957	-0.156508	-0.963872	0.436897	-0.0478267	0.0257305	0.0355023	-0.0233342	0.191171	-2.19046	5.80779	0.7009	2.11653	-0.328561	-0.537243
4	5.5401	3.60508	29.8188	5.42932	-17.3605	23.9122	5.40232	11.8857	-1.85203	0.685299	-0.203566	-0.801805	0.629998	-0.0479239	0.303182	0.0898489	-0.00489895	0.140633	-1.36191	8.25416	0.64866	0.858538	-1.8459	-0.337332	6.87726	1.45972	30.0337	5.52202	-17.2063	25.03	8.33125	15.6062	-6.06807	0.89126	-0.27448	-0.9222	0.816117	-0.0631605	0.521011	0.149154	0.036808	0.117649	-2.20978	10.551	0.683646	0.654692	-3.30741	0.166655	7.82597	-1.13947	31.694	6.16805	-19.2	24.9295	9.71085	17.3825	-8.23309	1.01805	-0.336742	-1.10235	0.946536	-0.105492	0.593201	0.15652	0.0212086	-0.0125212	-2.77045	11.734	0.5877	1.17161	-3.61277	0.617229	1.73051	9.00354	30.8062	9.34902	-21.1869	25.1167	-3.53636	15.3171	-2.85452	0.402965	-0.124669	-0.729876	0.345084	-0.0175997	0.0672981	0.0225919	-0.0856295	0.323282	-1.06356	5.76731	0.507074	0.722183	-0.523267	-1.90922	3.96169	8.00054	33.1399	9.75544	-20.6836	27.2234	0.28884	16.21	-8.19647	0.628609	-0.182599	-0.893	0.507318	-0.0356807	0.201557	0.0546388	-0.0609593	0.352049	-1.97793	7.11357	0.715039	0.960582	-1.44546	-2.02554	5.63552	6.87385	35.1981	10.0416	-21.0705	27.5409	1.62412	16.2819	-11.1736	0.768009	-0.212759	-1.01668	0.615265	-0.054846	0.321759	0.0562895	-0.0496286	0.30104	-2.692	8.41071	0.846474	1.69474	-2.18237	-1.53045
5	6.00207	3.29254	28.8772	5.81308	-15.1175	26.2472	2.72217	9.72506	0.570124	0.745002	-0.209131	-0.778736	0.753748	0.000646316	0.622355	0.0678426	0.00633921	0.238144	-1.47417	10.8762	0.487465	0.324303	-3.92931	-0.945808	7.52138	0.899322	29.0479	5.88074	-14.3412	27.4416	5.6156	12.7853	-3.13507	1.04096	-0.285693	-0.932105	1.01363	0.0188663	0.900769	0.132315	0.0816724	0.257768	-2.41782	13.7127	0.5467	-0.367305	-6.6363	-0.28256	8.3785	-1.64539	30.7063	6.55071	-16.2341	27.3323	7.03719	14.5957	-5.54748	1.21995	-0.349757	-1.13693	1.19644	-0.00829233	1.01058	0.142803	0.0951984	0.117415	-3.11775	15.2945	0.443922	-0.0124993	-7.72377	0.733874	2.28497	8.63774	30.0183	9.59963	-18.5153	28.0603	-5.88279	13.2075	-0.00762865	0.416558	-0.141666	-0.716454	0.439143	-0.00457784	0.305406	0.01279	-0.140628	0.454654	-1.16769	7.66484	0.469218	0.588346	-2.15321	-3.23848	4.6975	7.35863	32.0896	9.89868	-17.25	30.2059	-1.7131	13.6159	-5.23285	0.692788	-0.223732	-0.968155	0.659779	-0.011082	0.489546	0.0514185	-0.103581	0.516871	-2.19511	9.43817	0.735854	0.753925	-3.57627	-3.78149	6.1864	6.1515	34.0561	10.2095	-17.4391	30.3569	-0.168342	13.6503	-8.37963	0.84822	-0.262478	-1.11053	0.802456	-0.0241847	0.649904	0.0558572	-0.0814923	0.479467	-3.03311	11.1555	0.884779	1.3816	-4.80494	-3.29449
6	6.59515	2.81831	28.0429	6.05188	-12.5922	28.7669	-0.0329126	7.49132	3.24587	0.898406	-0.204881	-0.699572	0.869402	0.0633368	1.00899	0.0263332	0.0114011	0.372007	-1.62283	13.3404	0.206511	-0.517342	-6.25133	-1.75506	8.24398	0.260764	28.3237	6.13808	-11.0032	30.0547	2.378	9.63724	0.209097	1.213	-0.279339	-0.882853	1.16852	0.119653	1.3543	0.0791363	0.106255	0.455796	-2.59682	16.5773	0.26207	-1.65477	-10.1753	-1.48776	8.9842	-2.2213	30.0198	6.88154	-12.5429	30.0391	3.77773	11.1929	-2.21971	1.40671	-0.340053	-1.13349	1.38733	0.116801	1.49029	0.0913447	0.150489	0.336846	-3.35903	18.4805	0.157767	-1.47377	-12.5014	-0.145106	2.93085	8.15573	29.174	9.70155	-15.2836	31.0022	-8.43635	10.5585	2.99862	0.518728	-0.156266	-0.60987	0.548016	0.01827	0.626673	-0.0127092	-0.20983	0.608454	-1.34042	9.61841	0.365698	0.191272	-4.22056	-4.59816	5.40673	6.54769	31.073	9.92641	-13.0215	33.1612	-4.33225	10.261	-1.87617	0.863272	-0.254631	-0.880357	0.822135	0.0355805	0.887669	0.0153295	-0.166217	0.713732	-2.41397	11.8193	0.659279	0.0416262	-6.32357	-5.83877	6.67558	5.21169	33.0387	10.2673	-12.8818	33.2463	-2.68431	10.2541	-4.99451	1.02305	-0.297458	-1.07495	0.99158	0.038647	1.07987	0.0148123	-0.13544	0.706976	-3.28991	13.893	0.797407	0.629941	-8.25485	-5.75533
7	7.33033	2.27639	27.3653	6.0439	-10.341	31.2707	-2.47539	5.69598	5.8055	1.17029	-0.211006	-0.596878	0.974098	0.118241	1.42447	-0.0196921	0.00316053	0.529146	-1.827	15.4971	-0.0895334	-1.71586	-7.88844	-2.59698	9.06491	-0.341717	27.9147	6.17043	-7.88769	32.6372	-0.946398	6.82222	3.44725	1.46044	-0.275007	-0.798611	1.28042	0.209723	1.84642	0.00218146	0.0962446	0.68607	-2.78158	19.0109	-0.0950637	-3.22024	-12.3919	-3.27601	9.68566	-2.76133	29.674	7.01366	-8.80286	32.8153	0.251303	7.8103	1.21821	1.65153	-0.328902	-1.07442	1.52019	0.234116	2.02764	0.00666721	0.159315	0.610544	-3.56152	21.1242	-0.197256	-3.31243	-16.1372	-2.24673	3.62158	7.61175	28.2825	9.65178	-11.9977	33.7847	-10.9454	7.86971	5.83336	0.711522	-0.179238	-0.449901	0.664597	0.0392541	1.00478	-0.0486297	-0.292944	0.779226	-1.58192	11.5611	0.233517	-0.467318	-6.10862	-5.74296	6.05164	5.64199	30.1348	9.82728	-8.70106	35.8898	-7.44586	6.74595	1.43192	1.09223	-0.277594	-0.650447	0.965894	0.0854135	1.37748	-0.0515855	-0.257786	0.933352	-2.65902	14.1765	0.501484	-0.922732	-8.78927	-7.9983	7.0993	4.13309	32.1757	10.1645	-8.12859	36.0017	-5.87287	6.66838	-1.47276	1.25375	-0.31643	-0.881851	1.14879	0.109848	1.62017	-0.0688826	-0.227715	0.963219	-3.51748	16.5201	0.592946	-0.415372	-11.5799	-8.76312
8	8.22558	1.74245	26.884	5.758	-8.76333	33.6162	-4.29991	4.62422	8.10663	1.47623	-0.232684	-0.513888	1.04495	0.151529	1.81743	-0.0554247	-0.0197805	0.696884	-2.04121	17.27	-0.320383	-3.10842	-8.47549	-3.34647	10.011	-0.820391	27.8295	5.91057	-5.5824	35.0168	-3.81485	4.83331	6.33474	1.76869	-0.287677	-0.726958	1.34502	0.267087	2.30672	-0.0743578	0.0508527	0.926862	-2.9225	20.9648	-0.438499	-4.9474	-12.6322	-5.15026	10.5252	-3.17667	29.6593	6.83879	-5.71784	35.439	-3.02449	5.08329	4.40329	1.96902	-0.339244	-1.0193	1.60105	0.315011	2.55342	-0.088964	0.116367	0.903934	-3.69344	23.1838	-0.537655	-5.35748	-17.1594	-5.02831	4.33495	7.05506	27.3968	9.45765	-9.14612	36.346	-13.1078	5.6402	8.39139	0.926011	-0.211456	-0.318559	0.761171	0.0486322	1.38661	-0.0871138	-0.387377	0.962491	-1.82326	13.4176	0.0977516	-1.14974	-7.38471	-6.55491	6.61777	4.70876	29.3457	9.59393	-5.05028	38.318	-10.6787	3.82174	4.50706	1.28076	-0.296128	-0.446828	1.05552	0.118909	1.87335	-0.134677	-0.380725	1.17066	-2.85704	16.437	0.278674	-1.54857	-10.1764	-10.0719	7.46898	2.99974	31.4976	9.86833	-4.01706	38.503	-9.37609	3.66286	1.92556	1.44121	-0.326262	-0.695869	1.23545	0.161747	2.18178	-0.176254	-0.364389	1.23736	-3.66087	18.9621	0.298117	-1.16088	-13.4107	-12.0751
9	9.27209	1.25852	26.6277	5.24889	-7.93386	35.7481	-5.38869	4.25408	10.1773	1.72697	-0.268132	-0.460217	1.07897	0.162987	2.15811	-0.0713174	-0.0514861	0.86398	-2.20621	18.6637	-0.435532	-4.34746	-8.3986	-3.92171	11.0781	-1.14558	28.0067	5.39345	-4.32608	37.1263	-5.83994	3.82624	8.90374	2.0767	-0.324062	-0.674427	1.37089	0.28689	2.68881	-0.126109	-0.0167649	1.16184	-2.9639	22.4635	-0.678008	-6.42956	-11.596	-6.64326	11.508	-3.42813	29.8832	6.36104	-3.71767	37.7786	-5.56833	3.37847	7.28039	2.29605	-0.379381	-0.993359	1.63491	0.350313	3.0003	-0.167575	0.0372253	1.19107	-3.689	24.7152	-0.786066	-7.11901	-15.8293	-7.66619	5.05678	6.51714	26.6163	9.13604	-7.0051	38.701	-14.6864	4.14501	10.7253	1.10493	-0.251915	-0.250044	0.826515	0.0435951	1.73724	-0.118767	-0.485537	1.14988	-1.9995	15.112	-0.00621486	-1.65418	-8.1425	-6.9849	7.09007	3.80293	28.7708	9.22826	-2.57056	40.475	-13.5218	2.04156	7.43021	1.39913	-0.319777	-0.372107	1.09084	0.126171	2.30917	-0.211098	-0.525089	1.41702	-2.92975	18.5393	0.0291702	-1.64977	-10.6123	-11.6625	7.78789	1.88331	31.0015	9.37381	-1.13155	40.7245	-12.6354	1.83864	5.23139	1.54663	-0.340869	-0.648399	1.24977	0.178714	2.67428	-0.277119	-0.534927	1.5217	-3.6396	21.173	-0.0366216	-1.36017	-13.4961	-15.0594
