PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	3.40686	1.68597	27.3846	2.78273	-19.1156	5.68694	3.82665	16.548	10.5643	0.107291	-0.0170526	-0.901439	0.0290816	-0.0135934	-0.511247	0.0185013	-0.0123511	0.0305192	0.0108016	0.582898	0.0316297	1.11585	1.32905	0.0429042	3.98165	2.0291	33.1045	3.1651	-20.0798	6.53037	4.5338	17.2476	11.1526	0.116009	-0.0406762	-1.14432	0.0230836	-0.0359908	-0.633547	0.023591	-0.0360077	0.0392641	-0.0130131	0.573315	0.0447851	1.91846	1.75122	0.0320992	3.87268	1.02173	39.0809	3.52968	-20.1811	9.0915	4.39423	17.3569	10.9248	0.166677	-0.0602726	-1.45146	0.0316533	-0.0521536	-0.758411	0.0261764	-0.0544062	0.0464026	0.0345281	0.680642	0.045784	3.75871	1.87202	0.00842286	3.12955	5.46095	30.2778	4.62133	-25.4592	7.24927	-4.04263	15.7906	9.8519	0.0409879	-0.00289947	-0.91257	-0.05909	-0.00604711	-0.528797	0.0138903	-0.00429816	0.0362524	0.0815566	0.585143	0.00211132	1.33376	1.37536	0.0468867	2.85252	4.18316	35.0794	4.7891	-25.6649	6.43233	-4.31899	16.4495	10.2355	0.0392795	0.0235026	-1.10439	-0.0630621	0.0175792	-0.646188	0.0150928	0.0177459	0.0393264	0.0248333	0.598021	-0.00777436	1.79206	2.18149	0.0944738	2.82767	3.5557	40.612	5.57413	-25.8938	8.59961	-3.93348	17.1333	10.6437	0.0592993	0.0187141	-1.41099	-0.0605878	0.0234756	-0.753856	0.0210929	0.0266366	0.0398598	-0.0384963	0.718519	0.00568854	2.98498	2.86669	0.132368
1	3.50893	2.19366	26.8496	2.92495	-19.2403	7.03397	3.09651	16.192	9.66916	0.202455	-0.0151963	-0.921701	0.0744226	-0.0130718	-0.455219	0.0107471	-0.00690263	-0.0264626	0.0477282	1.58897	0.0384939	0.937769	1.63207	-0.0840008	4.07688	2.72055	32.474	3.38918	-20.2558	8.04286	4.07731	16.8595	10.2562	0.196499	-0.040981	-1.17295	0.0662015	-0.0410344	-0.565706	0.0131354	-0.0363497	-0.0360841	-0.0489774	1.6743	0.059579	1.50579	2.30659	-0.142508	4.03167	1.52457	38.1684	3.77247	-20.5242	10.594	3.93309	16.8633	10.0648	0.230116	-0.0637	-1.47705	0.071941	-0.0608862	-0.664658	0.00798024	-0.0574162	-0.0532452	-0.0370631	1.94196	0.0505964	3.20815	2.60107	-0.263141	3.4296	6.42889	29.6632	5.00795	-26.1194	8.6264	-4.77303	15.434	9.05358	0.15779	-0.00751632	-0.902133	-0.0212739	-0.0180071	-0.492122	-0.000401842	-0.0110376	-0.00819711	0.182412	1.53043	0.0180082	0.980541	1.80002	-0.0705383	3.212	5.25378	34.4239	5.23522	-26.4842	8.22435	-4.83499	16.1598	9.29207	0.140387	0.0175928	-1.11715	-0.0298267	0.00286974	-0.59786	-0.00499179	0.0110736	-0.0213072	0.0415044	1.59388	0.00434128	1.2234	2.83183	-0.0271385	3.14639	4.31405	39.861	6.04412	-26.5909	10.3959	-4.35773	16.7048	9.49891	0.144877	0.00732317	-1.45818	-0.0183188	0.00187732	-0.667505	-0.00709707	0.0170976	-0.0510063	-0.142149	1.961	0.0229898	2.26213	3.45402	-0.181864
2	3.63831	2.60457	26.4071	3.0925	-19.1471	8.81547	2.0414	15.7586	8.38829	0.322859	-0.0135347	-0.965426	0.148497	-0.00555474	-0.378748	-0.000648421	0.00647211	-0.0981392	0.0865282	3.10952	0.0425337	0.696357	1.61446	-0.343804	4.2375	3.29803	31.9939	3.66341	-20.1827	10.0613	3.22806	16.3912	8.86155	0.303349	-0.0451338	-1.24612	0.144433	-0.0406028	-0.484364	0.00138103	-0.0294695	-0.131833	-0.110694	3.35712	0.0741251	1.02274	2.48552	-0.567746	4.26385	1.92834	37.3966	4.07608	-20.6284	12.5749	3.04837	16.3832	8.75958	0.327153	-0.0710652	-1.55335	0.15659	-0.0614998	-0.553312	-0.0125952	-0.0500498	-0.173765	-0.174668	3.84679	0.0517655	2.59634	2.8504	-0.855365	3.7323	7.14307	29.2047	5.47422	-26.2376	10.4781	-5.832	14.9658	7.94121	0.279889	-0.0201518	-0.934697	0.043615	-0.0284139	-0.431035	-0.0219368	-0.0183053	-0.0619513	0.291168	2.94709	0.0344192	0.57575	1.92809	-0.313281	3.61632	5.99389	33.9851	5.76674	-26.6958	10.5868	-5.79804	15.7621	7.9229	0.253896	0.00479026	-1.1908	0.0334728	-0.00867231	-0.527503	-0.0347208	0.00588513	-0.0974464	0.0441449	3.08718	0.0178572	0.592252	3.12387	-0.413621	3.53425	4.79122	39.3256	6.57667	-26.6989	12.7355	-5.31675	16.2075	7.86943	0.250237	-0.00970707	-1.57416	0.064329	-0.014192	-0.557482	-0.04707	0.0115844	-0.163122	-0.307621	3.82167	0.037231	1.48572	3.455	-0.912468
3	3.79568	2.88965	26.0877	3.29508	-18.8146	10.9649	0.735227	15.2024	6.91171	0.47347	-0.00906289	-0.954526	0.250683	0.0127242	-0.248875	-0.0148974	0.0300853	-0.168109	0.0703845	5.08035	0.0461389	0.309178	1.07242	-0.575753	4.45853	3.71636	31.689	3.99034	-19.8167	12.5117	1.96136	15.7877	7.11928	0.453292	-0.04614	-1.2846	0.262645	-0.0253213	-0.35399	-0.0111308	-0.00671	-0.228262	-0.233407	5.54778	0.0855528	0.315092	2.04857	-1.0464	4.55446	2.21524	36.7932	4.45225	-20.4235	14.962	1.64492	15.831	7.11731	0.472993	-0.0763621	-1.6096	0.292348	-0.0437212	-0.391844	-0.0329212	-0.0225631	-0.288249	-0.412708	6.32837	0.0465548	1.68903	2.39276	-1.52454	4.01456	7.57451	28.9467	6.00898	-25.7874	12.7375	-7.12677	14.3395	6.68666	0.406219	-0.0388732	-0.937964	0.136566	-0.0351424	-0.309145	-0.0486426	-0.0270661	-0.11114	0.334522	4.77718	0.0489795	0.0780125	1.50023	-0.567887	4.02626	6.37702	33.7985	6.36504	-26.2531	13.4337	-7.14815	15.1962	6.30142	0.386951	-0.0143154	-1.24421	0.131922	-0.0151038	-0.391453	-0.0709887	0.000504615	-0.171695	-0.0238485	5.01786	0.0331636	-0.195237	2.70939	-0.933978	3.94485	4.96932	39.0113	7.16614	-26.1579	15.5168	-6.82671	15.5722	5.89661	0.387667	-0.0305324	-1.67383	0.193075	-0.01974	-0.381178	-0.0945778	0.0103263	-0.271129	-0.565719	6.24259	0.0436456	0.548036	2.48605	-1.79977
4	3.98197	3.01972	25.9255	3.54676	-18.2694	13.4466	-0.706154	14.5314	5.53197	0.654306	-0.00502289	-0.835762	0.37819	0.0397345	-0.0410047	-0.0280689	0.0595308	-0.209087	-0.0740079	7.32406	0.0618611	-0.177347	-0.238485	-0.541472	4.73516	3.93458	31.5906	4.36804	-19.1707	15.3568	0.338186	15.0374	5.34991	0.653153	-0.0448005	-1.20942	0.417894	0.00619154	-0.136012	-0.0231587	0.0305756	-0.290646	-0.477688	8.02563	0.100388	-0.585427	0.590894	-1.14806	4.89108	2.37847	36.397	4.90791	-19.8928	17.7211	-0.254988	15.1193	5.41618	0.667393	-0.0788388	-1.56352	0.471997	-0.00493548	-0.141643	-0.0502414	0.0239069	-0.354305	-0.794535	9.13981	0.0393248	0.402807	0.775096	-1.70991	4.2525	7.74693	28.912	6.61505	-24.8495	15.3555	-8.53748	13.546	5.56071	0.530139	-0.0623776	-0.869836	0.255959	-0.0381461	-0.105813	-0.074575	-0.0405171	-0.132995	0.230271	6.87102	0.0692013	-0.380188	0.252133	-0.659907	4.39776	6.43257	33.8756	7.01866	-25.2182	16.6849	-8.74714	14.4328	4.74852	0.537644	-0.0388262	-1.21378	0.267017	-0.0146315	-0.155431	-0.106536	-0.00789744	-0.215034	-0.240641	7.23188	0.0603118	-0.981976	1.12358	-1.2245	4.32417	4.87307	38.9089	7.81313	-24.9983	18.6525	-8.77738	14.728	3.90848	0.551511	-0.0527988	-1.67706	0.362251	-0.0110829	-0.0985529	-0.141811	0.0094861	-0.333932	-0.957866	9.01641	0.043638	-0.38649	0.0608546	-2.2474
5	4.2021	2.96309	25.9495	3.85544	-17.5701	16.2628	-2.18015	13.8101	4.5793	0.834846	-0.00637921	-0.640812	0.515537	0.0703021	0.242923	-0.0355261	0.0870026	-0.193968	-0.391751	9.54091	0.0996532	-0.624478	-2.42887	-0.191057	5.06804	3.90831	31.7238	4.77935	-18.3133	18.5944	-1.53236	14.2045	3.95576	0.873518	-0.0458259	-1.0188	0.589679	0.0483056	0.185573	-0.0334395	0.0721603	-0.284877	-0.892587	10.4299	0.130425	-1.44986	-2.18319	-0.654597	5.26965	2.40739	36.248	5.42811	-19.087	20.8569	-2.50996	14.229	4.04008	0.881041	-0.0799786	-1.39265	0.668319	0.0482714	0.218856	-0.0632186	0.0749638	-0.333172	-1.34296	11.8618	0.0384624	-1.03527	-2.41133	-1.08713	4.42418	7.72192	29.09	7.31184	-23.5808	18.3086	-9.97325	12.6358	4.87813	0.627157	-0.0896474	-0.763766	0.388142	-0.0405392	0.171637	-0.0940082	-0.0639366	-0.104491	-0.0610703	8.98483	0.0986863	-0.651482	-1.89269	-0.566168	4.68881	6.23851	34.1872	7.73506	-23.748	20.27	-10.465	13.5021	3.64816	0.679172	-0.0707303	-1.11017	0.42474	-0.0124397	0.18436	-0.133862	-0.02826	-0.198016	-0.653262	9.48636	0.107482	-1.4798	-1.87989	-1.07077	4.62732	4.56567	38.9891	8.5199	-23.3477	22.0791	-10.995	13.6618	2.33325	0.705956	-0.0778654	-1.57957	0.546759	0.00532854	0.299295	-0.181062	-0.00537756	-0.31143	-1.501	11.7923	0.0417712	-1.0451	-3.97695	-1.95747
6	4.46679	2.69491	26.1745	4.19955	-16.7713	19.4217	-3.59829	13.1243	4.32944	0.968505	-0.0144124	-0.473915	0.636701	0.0991392	0.574891	-0.0352603	0.104686	-0.109448	-0.867471	11.4301	0.146915	-0.980421	-5.31149	0.159297	5.46522	3.59367	32.0881	5.17417	-17.3334	22.221	-3.51278	13.4052	3.2985	1.05316	-0.0538162	-0.825295	0.742091	0.0899731	0.586282	-0.0406469	0.10221	-0.195163	-1.47131	12.4197	0.171196	-2.12544	-6.08337	0.04072	5.69912	2.27406	36.3675	5.95529	-18.1026	24.3776	-4.8946	13.2357	3.35424	1.05531	-0.0816119	-1.1972	0.837563	0.10055	0.668787	-0.0723479	0.107007	-0.211834	-2.02826	14.0993	0.037845	-2.27723	-7.0263	-0.15633	4.52071	7.57357	29.4399	8.10404	-22.1542	21.5819	-11.3583	11.7073	4.90273	0.668114	-0.115674	-0.719959	0.508774	-0.0441282	0.491013	-0.106418	-0.100147	-0.0137295	-0.507174	10.8893	0.1208	-0.804444	-4.69616	-0.545187	4.87714	5.89284	34.664	8.51656	-22.0374	24.1235	-12.2033	12.4863	3.32763	0.75839	-0.104823	-1.04014	0.571594	-0.0132715	0.592629	-0.151337	-0.0674987	-0.104525	-1.23116	11.554	0.155255	-1.65753	-5.99141	-0.767955	4.83797	4.13288	39.2086	9.26603	-21.4032	25.7541	-13.2892	12.4435	1.55784	0.792059	-0.104012	-1.48952	0.706015	0.0181002	0.774997	-0.209208	-0.049649	-0.186497	-2.15263	14.2331	0.028162	-1.37697	-9.08047	-1.44311
7	4.79261	2.20306	26.5992	4.50086	-15.8973	22.8773	-4.85001	12.5386	4.88972	1.05685	-0.0252313	-0.41172	0.727518	0.126104	0.929426	-0.0300745	0.110806	0.0348053	-1.44158	12.8857	0.18487	-1.35765	-8.43044	0.0647358	5.94225	2.95802	32.6457	5.44734	-16.2889	26.1661	-5.41648	12.7409	3.56757	1.15804	-0.0678995	-0.75661	0.847917	0.12503	1.02872	-0.0454262	0.112074	-0.0356736	-2.15364	13.9096	0.204345	-2.74487	-10.3771	0.227801	6.20378	1.92717	36.7376	6.36778	-17.0324	28.2279	-7.13432	12.2721	3.56701	1.15531	-0.0831838	-1.12021	0.94943	0.140963	1.16898	-0.0806683	0.107336	-0.0150569	-2.77834	15.7569	0.0282988	-3.2932	-12.213	0.140036	4.55879	7.35995	29.9086	8.93448	-20.7043	25.1203	-12.5855	10.8707	5.73184	0.676859	-0.137443	-0.790292	0.608839	-0.0490655	0.828601	-0.115662	-0.148189	0.131772	-1.02966	12.502	0.125395	-1.0156	-7.72412	-0.918895	4.97634	5.47507	35.2179	9.30832	-20.2567	28.1554	-13.8431	11.4924	3.93449	0.762398	-0.131848	-1.09638	0.682049	-0.0179897	1.02932	-0.165325	-0.126889	0.0584574	-1.88035	13.3615	0.171891	-1.76164	-10.4459	-0.904925	4.97531	3.65859	39.5201	9.97896	-19.3797	29.62	-15.4427	11.2109	1.7913	0.793604	-0.124904	-1.52021	0.812932	0.0206678	1.28001	-0.23171	-0.127355	0.0233398	-2.82557	16.2223	-0.0107534	-1.55644	-14.2606	-1.5639
8	5.19654	1.48358	27.2002	4.63715	-14.9501	26.4871	-5.80952	12.085	6.15082	1.15992	-0.0445876	-0.42705	0.802689	0.15091	1.3032	-0.0205087	0.107632	0.214629	-2.03656	14.048	0.230556	-1.86568	-11.2256	-0.60751	6.51891	1.99536	33.3246	5.45239	-15.1963	30.2442	-7.02111	12.2513	4.704	1.23353	-0.0944082	-0.811461	0.917428	0.152279	1.49878	-0.0465482	0.103597	0.161865	-2.84966	15.1164	0.239707	-3.46467	-14.1426	-0.403287	6.81731	1.30451	37.2887	6.49316	-15.9271	32.2338	-8.95771	11.4547	4.65411	1.22002	-0.0972686	-1.18138	1.01616	0.163717	1.70035	-0.086626	0.078954	0.214386	-3.4992	17.0587	0.0346424	-4.25814	-16.7829	-0.600584	4.5764	7.1039	30.4419	9.68616	-19.3069	28.7866	-13.5265	10.2073	7.25244	0.718424	-0.163575	-0.897126	0.703896	-0.0589518	1.18869	-0.122027	-0.206284	0.310968	-1.5422	13.9063	0.141809	-1.25178	-10.5321	-1.72092	5.03094	5.02088	35.7619	9.98557	-18.5223	32.2102	-15.2201	10.6215	5.38272	0.759961	-0.157086	-1.22714	0.766875	-0.0296374	1.4833	-0.179274	-0.204527	0.267616	-2.48749	15.0064	0.171105	-1.84505	-14.3984	-1.74352	5.08137	3.19751	39.8676	10.5394	-17.4514	33.5493	-17.2139	10.1212	3.00477	0.782546	-0.147776	-1.64073	0.882893	0.00798537	1.79405	-0.251324	-0.231839	0.28042	-3.41949	17.8776	-0.0434588	-1.60922	-18.5169	-2.62973
9	5.68518	0.543263	27.9139	4.50809	-13.9388	30.0286	-6.39527	11.7739	7.87196	1.28891	-0.0846339	-0.459754	0.87294	0.170593	1.69159	-0.00398421	0.0981124	0.406756	-2.55196	15.1348	0.307826	-2.45257	-13.0625	-1.62262	7.20773	0.747157	34.0217	5.07997	-14.069	34.1779	-8.14788	11.9203	6.46699	1.32305	-0.147947	-0.895867	0.972169	0.169825	1.98622	-0.0388126	0.0821308	0.372733	-3.43416	16.3253	0.302072	-4.19085	-16.4314	-1.61022	7.56529	0.366517	37.8962	6.18143	-14.7983	36.1177	-10.1786	10.8313	6.41163	1.29495	-0.145144	-1.28417	1.06342	0.16671	2.24681	-0.0835774	0.0326038	0.446348	-4.06348	18.298	0.0883879	-5.08742	-19.4707	-2.04614	4.61698	6.78337	30.9717	10.2345	-17.9743	32.3771	-14.1018	9.73988	9.22254	0.805355	-0.202556	-0.937011	0.802432	-0.0759403	1.57654	-0.123869	-0.270284	0.502766	-1.9631	15.2442	0.204293	-1.36179	-12.5908	-2.70605	5.09676	4.51356	36.207	10.4035	-16.8876	36.0738	-16.1849	9.9368	7.42781	0.810047	-0.197616	-1.30318	0.848222	-0.0535282	1.95504	-0.188923	-0.295864	0.498581	-2.9455	16.6247	0.20384	-1.70536	-17.0471	-3.02566	5.20346	2.74898	40.1668	10.8226	-15.7016	37.3381	-18.4107	9.28278	4.98698	0.828516	-0.193493	-1.71899	0.946769	-0.0258641	2.31102	-0.261752	-0.352311	0.551336	-3.83171	19.3796	-0.00937902	-1.35475	-20.9166	-4.27426
