PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	5.86638	-3.43491	27.5694	0.130986	-17.937	14.138	7.5189	14.0892	9.14849	0.0324511	-0.031695	-0.960261	0.0457939	-0.0102603	-0.494495	0.0107817	-0.0103522	0.00612778	-0.130644	0.576232	0.0577936	0.889111	0.766627	0.0285942	7.49776	-4.95782	35.4684	-0.916193	-14.8396	18.2738	9.68814	14.5344	10.4587	0.00656974	-0.0857268	-1.03254	0.0885271	-0.0549663	-0.557287	0.0273263	-0.0471353	7.71053e-05	-0.230482	0.680951	0.103747	2.67634	-0.401698	0.0147792	8.30073	-7.83892	40.7877	-1.90154	-12.9827	20.3064	11.3519	14.6576	11.9769	-0.0515768	-0.128159	-1.44908	0.140947	-0.0767883	-0.772615	0.0336461	-0.0699227	0.017398	-0.192448	0.735576	0.07356	5.9053	-1.48071	0.0871938	2.73211	2.79522	30.0023	2.04768	-15.6605	17.8369	-2.03179	16.7069	9.96515	0.0391397	-0.0231976	-1.12577	-0.0213538	-0.0195405	-0.532824	0.00329865	-0.0144154	0.0185724	-0.112051	0.560587	0.0247822	0.745067	1.03822	0.0140033	3.82304	2.95078	36.2248	1.33979	-13.1941	18.631	-2.20449	16.5587	10.0223	0.0350358	0.0235192	-1.32984	-0.0303324	0.0154495	-0.653124	-0.00965842	0.0204203	0.00915447	-0.221952	0.702404	0.0394545	2.56423	0.597804	-0.0333583	4.5964	0.427139	39.7733	1.59282	-12.6048	16.6733	-1.54267	17.1711	9.81471	-0.0251962	0.0368638	-1.72071	-0.00834976	0.0571681	-0.867559	-0.00482952	0.0668702	0.0281381	-0.181036	0.703282	-0.0170993	4.76227	0.90528	-0.0214757
1	6.02799	-3.08074	27.2398	0.315146	-18.4705	15.1911	6.34956	13.9713	8.23699	0.109928	-0.0316186	-1.01988	0.0707469	-0.0114269	-0.414035	-0.00933167	-0.0124211	-0.0645625	-0.121209	1.63188	0.0519711	0.646897	1.14923	-0.178793	7.7463	-4.41218	34.4803	-0.747879	-15.2102	18.4437	8.94161	14.5417	9.04385	0.116392	-0.090485	-1.06269	0.119321	-0.0577642	-0.424839	0.00768079	-0.0543471	-0.104609	-0.390137	2.06614	0.136259	2.34027	0.332036	-0.477491	8.63339	-7.51261	39.2763	-1.89611	-13.1731	19.987	10.7649	14.7245	10.5748	0.0107932	-0.129421	-1.49323	0.130451	-0.0839551	-0.609219	0.00472268	-0.0858998	-0.118334	-0.377034	2.20834	0.0621434	5.30633	-0.113965	-0.568647	2.75933	3.01073	29.7191	2.11127	-16.3322	18.9588	-2.98315	16.6361	9.10689	0.106848	-0.0300181	-1.1949	-0.00112243	-0.0370219	-0.441159	-0.0202805	-0.0200162	-0.0492178	-0.100987	1.64425	0.0753076	0.756547	1.22588	-0.209608	3.90702	3.34683	35.4013	1.48914	-14.269	19.2459	-2.73799	17.0081	8.72115	0.0665455	0.00543658	-1.39729	-0.0194508	-0.0185474	-0.521137	-0.0379071	0.00781289	-0.0900489	-0.366834	2.08502	0.136425	2.47094	1.05999	-0.435044	4.91309	0.743429	38.7127	1.79038	-13.6019	17.284	-2.0039	17.5791	8.5352	-0.00241595	0.0189933	-1.76908	0.00273167	0.0277595	-0.709349	-0.04179	0.0584281	-0.0987248	-0.356971	2.10642	0.0330212	4.30486	1.7157	-0.461797
2	6.21364	-2.74565	27.0003	0.532151	-18.8897	16.717	4.88558	13.7487	7.06763	0.194319	-0.0308969	-1.07508	0.109142	-0.00722028	-0.290504	-0.0403186	-0.0108625	-0.155277	-0.0858394	3.24439	0.0322853	0.425368	1.13015	-0.523258	7.9572	-3.84882	33.6475	-0.483044	-15.3738	19.2837	7.62014	14.0671	7.27406	0.247741	-0.0952837	-1.10485	0.168867	-0.0543903	-0.251149	-0.0206866	-0.0599179	-0.24327	-0.568981	4.19869	0.164294	1.98191	0.565107	-1.31562	8.89211	-6.98876	37.9792	-1.74493	-13.3351	20.3761	9.65887	14.3066	8.78236	0.0987378	-0.124639	-1.53964	0.127058	-0.0846573	-0.405695	-0.0333546	-0.102878	-0.298926	-0.617328	4.44601	0.0367532	4.65978	0.539647	-1.79956	2.82051	3.00334	29.4201	2.15063	-16.4723	20.4124	-4.22999	16.3179	7.87422	0.181767	-0.0419614	-1.25262	0.0368454	-0.0510546	-0.29878	-0.0572092	-0.0252995	-0.135442	-0.0633924	3.30408	0.126916	0.804326	1.08782	-0.62606	4.02964	3.42865	34.6487	1.62325	-14.5913	20.3876	-3.74073	16.8884	6.9131	0.13104	-0.0188974	-1.43993	0.0228195	-0.0457455	-0.326948	-0.0799155	-0.00419737	-0.2154	-0.529894	4.20844	0.257151	2.30994	1.06236	-1.24385	5.2852	0.920029	37.7727	1.95164	-13.9834	18.4683	-2.88792	17.4162	6.80086	0.079855	-0.000181667	-1.79939	0.0426888	0.00295571	-0.500114	-0.0981945	0.04855	-0.262766	-0.590578	4.24101	0.0982424	3.82778	1.78469	-1.50169
3	6.40471	-2.54694	26.8137	0.750448	-18.9686	18.6169	3.30044	13.3555	5.9172	0.281372	-0.0287403	-1.06526	0.152729	0.00444389	-0.0949725	-0.0786597	-0.00408861	-0.241407	-0.0731506	5.31494	-0.0108464	0.243892	0.503944	-0.749086	8.10186	-3.40694	32.9624	-0.12941	-15.1532	20.7523	5.88673	13.1523	5.44078	0.385193	-0.0951029	-1.11389	0.231024	-0.0357592	-0.00449158	-0.0551111	-0.0518689	-0.375159	-0.755497	6.93562	0.167676	1.54093	0.00068	-1.94217	9.05276	-6.39296	36.8942	-1.45108	-13.2837	21.4065	8.13631	13.4548	6.73463	0.217278	-0.113788	-1.56192	0.143434	-0.0705156	-0.138803	-0.0745417	-0.106713	-0.487235	-0.897435	7.35663	-0.00811829	3.92948	0.275396	-3.13387	2.88026	2.68363	29.0895	2.15964	-15.9217	22.1279	-5.65811	15.7029	6.56041	0.266906	-0.0585878	-1.24304	0.0887284	-0.0589327	-0.0845114	-0.101578	-0.0333949	-0.215461	-0.0355714	5.43244	0.156845	0.799421	0.492913	-0.9737	4.13116	3.10937	33.9624	1.75519	-13.9628	22.0175	-5.13329	16.1432	4.96354	0.246168	-0.0505895	-1.42368	0.0986934	-0.0622742	-0.0499863	-0.127	-0.0196679	-0.327916	-0.704277	6.93309	0.36968	1.99484	0.314383	-1.93243	5.64642	0.873612	36.93	2.07288	-13.6394	20.1349	-4.12103	16.7449	4.79598	0.228224	-0.0262426	-1.78848	0.112096	-0.0174212	-0.218695	-0.164414	0.0323707	-0.429373	-0.87507	7.03054	0.166546	3.25162	0.977684	-2.68522
4	6.58967	-2.57772	26.651	0.931534	-18.562	20.8115	1.80404	12.7887	5.09705	0.386528	-0.0299667	-0.930816	0.20059	0.0213489	0.199985	-0.115241	0.00487056	-0.290539	-0.161043	7.57096	-0.0783969	0.0864533	-0.942958	-0.601703	8.18615	-3.20622	32.4189	0.269951	-14.4821	22.8132	4.01049	11.9848	3.99975	0.528501	-0.0961379	-1.00978	0.301237	-0.00457921	0.362707	-0.0884513	-0.0317568	-0.441786	-0.990072	9.86695	0.122537	0.964301	-1.90333	-1.64759	9.12668	-5.85833	36.0191	-1.05017	-12.9118	23.0196	6.3956	12.337	4.76265	0.378747	-0.105284	-1.48799	0.190699	-0.041081	0.229299	-0.109044	-0.0903839	-0.618143	-1.22293	10.5849	-0.0744056	3.00104	-1.29585	-3.5254	2.90896	2.02441	28.7361	2.13638	-14.6809	24.0766	-7.11214	14.8276	5.52394	0.359559	-0.0781478	-1.11449	0.144848	-0.0594676	0.218096	-0.144129	-0.0487462	-0.257391	-0.0844224	7.74505	0.145561	0.661578	-0.743855	-0.975629	4.17466	2.3717	33.353	1.88166	-12.4272	24.1213	-6.73359	14.9092	3.38561	0.3913	-0.0826258	-1.2992	0.189485	-0.0615774	0.335823	-0.170613	-0.0412089	-0.374814	-0.921487	9.86802	0.423811	1.4577	-1.64412	-1.87601	5.94027	0.555638	36.179	2.15638	-12.5834	22.2165	-5.54791	15.7136	2.88127	0.422192	-0.0561921	-1.68129	0.200098	-0.0258683	0.161966	-0.226241	0.00984595	-0.541253	-1.21444	10.1624	0.214646	2.48764	-0.970592	-3.10396
5	6.77852	-2.86329	26.4959	1.04228	-17.6813	23.265	0.538682	12.1135	4.86492	0.502525	-0.0384936	-0.719317	0.244753	0.0392597	0.570624	-0.140865	0.0120058	-0.27465	-0.392073	9.61593	-0.161213	-0.07294	-3.1858	-0.153468	8.26199	-3.28872	32.004	0.645562	-13.4769	25.4254	2.22412	10.8441	3.37844	0.672272	-0.101098	-0.806772	0.365762	0.03202	0.844847	-0.116669	-0.00803711	-0.397961	-1.3286	12.4129	0.0183292	0.361834	-5.48149	-0.59304	9.16449	-5.47515	35.351	-0.596358	-12.2365	25.1673	4.62386	11.1819	3.30337	0.582439	-0.10473	-1.27476	0.26742	0.000620976	0.712882	-0.132657	-0.055202	-0.629997	-1.62415	13.5312	-0.152587	1.91119	-4.55515	-2.45014	2.89792	1.07718	28.3829	2.07985	-12.9417	26.2715	-8.48123	13.8211	5.06705	0.446444	-0.100875	-0.905908	0.193272	-0.0562686	0.588106	-0.176198	-0.0754524	-0.237585	-0.261964	9.85372	0.0932138	0.428198	-2.69675	-0.689434	4.17132	1.29245	32.8409	1.97271	-10.295	26.6893	-8.38278	13.4773	2.62492	0.510569	-0.109978	-1.0984	0.260404	-0.0492666	0.813217	-0.206231	-0.0776847	-0.318647	-1.21996	12.4805	0.374887	0.829228	-5.0126	-1.24198	6.14476	-0.0143143	35.5352	2.21058	-10.97	24.6765	-7.03181	14.5142	1.49184	0.617325	-0.087696	-1.46049	0.287329	-0.021139	0.640943	-0.272285	-0.0233662	-0.545239	-1.61567	13.1062	0.219879	1.58224	-4.29971	-2.3687
6	7.00864	-3.34297	26.3388	1.06709	-16.5056	25.9709	-0.443972	11.4307	5.34767	0.604227	-0.0529067	-0.548559	0.272659	0.0537139	0.965736	-0.154455	0.0135561	-0.190235	-0.748923	11.1727	-0.243514	-0.256182	-5.91551	0.18996	8.4211	-3.60541	31.6793	0.923738	-12.4275	28.5071	0.659209	10.0088	3.7792	0.819846	-0.111438	-0.625709	0.412968	0.0630742	1.38453	-0.141435	0.00730474	-0.24706	-1.78647	14.2201	-0.117829	-0.195176	-10.2098	0.162828	9.24965	-5.2687	34.8735	-0.150821	-11.4134	27.7986	2.92651	10.2184	2.7181	0.800236	-0.117455	-0.991724	0.356294	0.040928	1.27292	-0.148414	-0.0188356	-0.505527	-2.11321	15.6579	-0.22016	0.839704	-9.32242	-0.788464	2.86645	-0.0334505	28.0479	1.98377	-11.0419	28.7303	-9.69972	12.8707	5.34499	0.511367	-0.125638	-0.726367	0.223816	-0.0550519	0.985502	-0.196567	-0.114249	-0.154796	-0.576628	11.5117	0.023543	0.216973	-5.20214	-0.457056	4.17818	0.0381537	32.4343	1.9781	-8.08204	29.6692	-9.96893	12.214	2.88952	0.574813	-0.128226	-0.933367	0.288131	-0.0361926	1.33377	-0.237741	-0.132961	-0.165512	-1.61478	14.4634	0.231766	0.326897	-9.29428	-0.870778	6.28679	-0.739989	35.0249	2.23918	-9.10276	27.4978	-8.50198	13.3594	0.979331	0.75685	-0.117277	-1.20659	0.349903	-0.0103924	1.17461	-0.300527	-0.0722845	-0.426249	-2.06559	15.3774	0.178647	0.732491	-8.82006	-1.23804
7	7.33369	-3.90739	26.1591	1.00873	-15.2993	28.8812	-1.1358	10.8436	6.49201	0.723269	-0.0754269	-0.454199	0.298499	0.0619294	1.3665	-0.159773	0.00878944	-0.0620111	-1.19818	12.2583	-0.277696	-0.505789	-8.73004	0.120239	8.76827	-4.07491	31.3621	1.04935	-11.6446	31.8765	-0.600193	9.66339	5.11506	1.01269	-0.139392	-0.529328	0.460332	0.0782497	1.94098	-0.16152	0.00725474	-0.0383211	-2.34462	15.3911	-0.195545	-0.861242	-14.8924	-0.0698242	9.48055	-5.22404	34.5348	0.218855	-10.6766	30.8178	1.37176	9.63111	3.15193	1.0142	-0.146535	-0.778729	0.441459	0.0667239	1.84945	-0.163187	0.000452683	-0.28819	-2.66535	16.8547	-0.236061	-0.161728	-14.6118	0.0626562	2.85644	-1.15363	27.724	1.83244	-9.33565	31.4041	-10.6966	12.1565	6.32139	0.591674	-0.157938	-0.626778	0.25225	-0.0599835	1.39278	-0.207841	-0.161546	-0.0285103	-1.00565	12.7476	-0.00438784	0.0688125	-7.86379	-0.504593	4.27089	-1.1965	32.0957	1.85073	-6.30586	32.8987	-11.3528	11.4419	4.11667	0.659876	-0.153783	-0.856886	0.302942	-0.0352913	1.86515	-0.264694	-0.20404	0.0440758	-2.09114	15.8915	0.0981571	-0.0181992	-13.4184	-1.19493	6.43366	-1.4836	34.659	2.22504	-7.3684	30.634	-9.89892	12.4644	1.48695	0.837764	-0.14491	-1.04439	0.383242	-0.00404357	1.71251	-0.318016	-0.136939	-0.219976	-2.53785	16.8439	0.123597	0.0928229	-13.7688	-0.775074
8	7.79868	-4.47102	25.9071	0.881567	-14.2873	31.854	-1.53738	10.4411	8.10399	0.908434	-0.114403	-0.37952	0.34723	0.0627592	1.77682	-0.158999	-7.91667e-05	0.0814131	-1.68066	13.1006	-0.21659	-0.917545	-11.1107	-0.308084	9.38363	-4.66071	30.932	0.990065	-11.2606	35.241	-1.47563	9.83072	7.10062	1.25747	-0.200586	-0.474931	0.527072	0.0731868	2.49001	-0.169198	-0.00732895	0.181537	-2.91178	16.2896	-0.138163	-1.85408	-18.0781	-1.01299	9.94284	-5.33895	34.2335	0.43683	-10.2083	34.0321	0.0600283	9.52024	4.50854	1.24665	-0.204643	-0.688261	0.530462	0.0688054	2.41046	-0.175733	-0.00543854	-0.0457798	-3.22786	17.454	-0.14087	-1.26961	-18.9761	-0.325992	2.91513	-2.15925	27.3664	1.61697	-8.05527	34.1395	-11.3913	11.7827	7.8121	0.733824	-0.208993	-0.567072	0.304196	-0.0725589	1.80599	-0.210286	-0.212313	0.11941	-1.47794	13.7552	0.0698716	-0.068325	-10.0717	-0.784823	4.51325	-2.27119	31.7298	1.57817	-5.2478	36.0987	-12.3616	11.3088	6.05685	0.835926	-0.214077	-0.823265	0.350153	-0.0543668	2.38116	-0.277501	-0.284469	0.273732	-2.55765	17.0276	0.0919174	-0.339523	-16.0928	-1.94251	6.66349	-2.13068	34.3973	2.13122	-6.08748	33.9392	-11.1047	11.9998	2.92801	0.942012	-0.187168	-1.0015	0.419407	-0.0121764	2.23406	-0.327916	-0.212364	0.0171707	-2.994	17.7369	0.131908	-0.388498	-17.9707	-1.22933
9	8.41749	-5.0089	25.5109	0.706584	-13.5735	34.6872	-1.65999	10.2753	9.96112	1.11836	-0.166917	-0.302582	0.409206	0.0590608	2.179	-0.154715	-0.00904667	0.228601	-2.09544	13.9498	-0.0784669	-1.48109	-12.4476	-0.896386	10.2862	-5.36675	30.285	0.735608	-11.1799	38.2885	-1.91727	10.3689	9.41236	1.47057	-0.282267	-0.430323	0.589382	0.0584426	2.99471	-0.163684	-0.0268518	0.396588	-3.33589	17.2442	0.022215	-3.04991	-18.6796	-2.1351	10.678	-5.64343	33.8366	0.43525	-10.0324	37.1563	-0.888539	9.85641	6.52969	1.48575	-0.297198	-0.653291	0.623404	0.0479827	2.93865	-0.179331	-0.0312298	0.18137	-3.6999	17.9015	0.0794727	-2.5766	-21.0283	-1.40067	3.07584	-2.98351	26.9025	1.36111	-7.25212	36.7297	-11.7414	11.7434	9.59222	0.896778	-0.275737	-0.51127	0.373283	-0.0897784	2.20383	-0.205256	-0.262909	0.278616	-1.87838	14.7337	0.240041	-0.214746	-11.2206	-1.17949	4.93548	-3.12791	31.2211	1.19612	-4.87101	38.9761	-12.8683	11.7278	8.40242	1.0338	-0.303582	-0.779954	0.41941	-0.0866371	2.84725	-0.273243	-0.365812	0.507222	-2.8846	18.1061	0.222391	-0.652642	-16.5039	-2.76375	7.03036	-2.63622	34.134	1.92868	-5.37978	37.1584	-11.9653	12.0202	5.05722	1.1174	-0.262393	-0.998715	0.48549	-0.0390555	2.72654	-0.326795	-0.292276	0.248494	-3.35256	18.3925	0.260236	-0.775399	-20.1829	-2.12765
