PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	3.38916	0.89486	24.7578	2.52599	-18.1117	4.93039	3.66169	10.1583	6.56601	0.0194327	-0.0125125	-0.58635	0.0153944	-0.000187595	-0.427985	-0.00525215	0.00436722	-0.0141805	-0.207856	0.696338	0.0632744	0.354153	0.370492	-0.0201415	4.77488	1.18103	29.9451	2.50168	-18.057	4.97946	3.7263	10.5435	8.24134	-0.0761393	-0.0460651	-0.863792	0.00754951	-0.0316032	-0.564389	0.0079289	-0.0247561	-0.00337939	-0.246311	0.764371	0.0571327	0.926067	0.67939	-0.0500907	5.68153	0.0711181	33.3523	2.39404	-17.0033	7.20871	4.79883	11.6349	7.03268	-0.180082	-0.0380972	-1.1248	-0.00209847	-0.0221635	-0.663712	0.0103642	-0.0165525	0.00336188	-0.262918	0.839804	0.0896268	1.16443	1.10924	-0.0416621	5.42814	8.33651	25.9283	-2.45565	-16.5993	9.07335	0.146148	11.7619	6.93326	-0.0392677	-0.00185675	-0.604471	-0.0739387	-0.0299358	-0.338334	0.00351537	-0.0190331	-0.0247459	-0.29321	0.729361	-0.0297166	0.276445	0.437217	-0.0631269	7.03916	8.79485	31.2202	-2.19536	-18.7686	10.0876	1.63375	14.2919	6.17937	-0.134783	0.0395752	-0.85719	-0.083319	0.00391229	-0.452944	-0.00165253	0.0162706	-0.0243358	-0.351376	0.735289	-0.0371571	0.609849	0.708664	-0.018417	8.20812	8.4864	33.547	-2.32742	-18.7445	11.3033	2.04339	14.8872	5.20734	-0.242126	0.0190468	-1.11172	-0.112885	-0.0221885	-0.558615	0.0118958	-0.00782083	-0.00416952	-0.331315	0.816214	-0.0161819	0.285989	1.48016	-0.0256607
1	3.53546	0.961333	24.5974	2.63503	-18.1617	5.62389	2.67536	9.56833	5.93704	0.0859734	-0.0154976	-0.622682	0.0608534	-0.00219759	-0.366129	-0.0223865	0.0113703	-0.078432	-0.318054	1.99234	0.0795234	0.0761419	0.869068	-0.197063	4.98114	1.13562	29.6759	2.55757	-18.0725	5.8903	2.74212	9.94509	7.40838	-0.00843561	-0.0493799	-0.93067	0.0502537	-0.0341643	-0.492547	-0.00982183	-0.0147709	-0.0847661	-0.434599	2.15778	0.0360341	0.420926	1.50366	-0.343546	5.87638	0.15754	33.0803	2.51734	-17.2655	8.2603	3.89974	10.8671	6.20231	-0.113694	-0.0474113	-1.2087	0.0424401	-0.0342193	-0.543199	-0.0148034	-0.0113326	-0.11887	-0.557777	2.49251	0.0696496	0.466624	1.80162	-0.481303	5.69829	8.68972	25.8745	-2.37802	-16.7476	9.99777	-0.387494	11.291	6.27925	0.0268356	-0.0195414	-0.639043	-0.0524003	-0.0451527	-0.258665	-0.0033395	-0.0215207	-0.0847344	-0.43997	2.05016	-0.00681175	0.0113665	0.707401	-0.232019	7.2731	8.97675	31.0951	-2.08148	-18.8272	11.0549	1.0075	13.8918	5.52345	-0.0491464	0.0187151	-0.911836	-0.0582616	-0.0109076	-0.357954	-0.0136117	0.0159845	-0.100449	-0.591261	2.13593	-0.0238112	-0.0202889	1.18224	-0.244407	8.39195	8.82193	33.6147	-1.91186	-19.1579	12.6334	1.53394	14.5091	4.46077	-0.131276	-0.00875429	-1.17882	-0.0743233	-0.042746	-0.42238	-0.00335524	-0.0045344	-0.120652	-0.653925	2.49043	0.0173313	-0.494467	1.75551	-0.369378
2	3.68025	1.02327	24.6068	2.78715	-17.9806	6.95752	1.22715	8.74008	5.03024	0.189277	-0.0165463	-0.708037	0.13673	0.00292063	-0.282255	-0.0491853	0.0254211	-0.157235	-0.41924	3.95494	0.0879513	-0.18872	1.02564	-0.497433	5.18676	1.17126	29.6242	2.69619	-17.8536	7.48711	1.20973	9.04809	6.19545	0.11335	-0.0481555	-1.05681	0.125008	-0.0286495	-0.39955	-0.0387084	0.00449207	-0.186795	-0.649817	4.26243	-0.00887207	-0.0588115	1.8404	-0.874405	6.09348	0.40669	33.0329	2.79519	-17.3034	9.95929	2.27417	9.75181	5.04159	0.0415938	-0.0487924	-1.33553	0.133547	-0.0344132	-0.384616	-0.0551095	0.00742824	-0.269458	-0.940105	5.00979	0.0166538	-0.137916	1.74026	-1.29	5.92307	9.08352	25.9873	-2.16417	-16.7845	11.5066	-1.08487	10.7514	5.28453	0.125486	-0.0450156	-0.742633	-0.0142345	-0.064479	-0.164138	-0.00982062	-0.0259631	-0.153361	-0.563583	4.03864	0.0328013	-0.27174	0.693673	-0.512527	7.47394	9.30644	31.2241	-1.76352	-18.7779	12.6874	0.0141913	13.2763	4.50336	0.0849336	-0.00473819	-1.03868	-0.0173969	-0.0275934	-0.248024	-0.02899	0.0159896	-0.189545	-0.84785	4.26558	-0.00450193	-0.67157	1.20905	-0.66677	8.57075	9.40152	33.8944	-1.29849	-19.4156	14.5429	0.517753	13.8557	3.38117	0.0460996	-0.0381656	-1.32643	-0.00830298	-0.0645433	-0.255739	-0.0224881	0.000997738	-0.257347	-1.05468	5.05482	0.0588133	-1.16863	1.31472	-1.03
3	3.84018	1.10536	24.742	2.98871	-17.538	8.85721	-0.547949	7.64609	4.0297	0.317458	-0.0154665	-0.807332	0.232308	0.0169439	-0.156656	-0.0834348	0.0422354	-0.222599	-0.509369	6.48293	0.0754735	-0.453638	0.646321	-0.721628	5.41409	1.29861	29.7257	2.90581	-17.3753	9.65685	-0.749004	7.86815	4.74317	0.28379	-0.0394173	-1.2058	0.225911	-0.00941512	-0.2618	-0.0779943	0.0319629	-0.279289	-0.878287	6.9998	-0.0836979	-0.530228	1.46124	-1.38136	6.37654	0.766072	33.1182	3.18884	-17.0231	12.1862	-0.007066	8.351	3.6522	0.2758	-0.0388705	-1.47706	0.268266	-0.0143613	-0.171991	-0.109879	0.0404527	-0.405772	-1.37846	8.31206	-0.08406	-0.711208	0.752865	-2.10497	6.10728	9.55928	26.2486	-1.7845	-16.6824	13.5634	-1.92572	10.0655	4.16054	0.269161	-0.0757514	-0.892734	0.0462351	-0.0831896	-0.0446854	-0.0123943	-0.034248	-0.200895	-0.642694	6.58611	0.0889576	-0.613837	0.257823	-0.724302	7.65732	9.82649	31.5572	-1.2305	-18.6118	14.9168	-1.30421	12.4296	3.27554	0.268675	-0.02978	-1.24015	0.0448872	-0.0434157	-0.114061	-0.0436594	0.0124078	-0.259521	-1.07903	7.0481	0.0188348	-1.38988	0.643765	-1.04478	8.77484	10.1853	34.3047	-0.509252	-19.4168	16.9389	-1.00917	12.8899	2.08799	0.283323	-0.0675052	-1.55389	0.0923388	-0.08131	-0.04966	-0.0408233	0.00673667	-0.370577	-1.48623	8.43686	0.0983264	-1.8348	0.0588125	-1.66859
4	4.04495	1.25385	24.9599	3.24409	-16.8674	11.2303	-2.43357	6.30558	3.21281	0.461775	-0.0151766	-0.831864	0.33685	0.036291	0.0549343	-0.120903	0.0512747	-0.245374	-0.639897	9.28556	0.0402346	-0.711415	-0.574288	-0.658242	5.7018	1.50995	29.9161	3.16763	-16.6423	12.2803	-2.92739	6.43595	3.33028	0.493006	-0.0272712	-1.27789	0.343733	0.021176	-0.0292613	-0.12429	0.055166	-0.325215	-1.15367	10.1043	-0.179401	-0.981019	-0.0209444	-1.47187	6.77601	1.14661	33.2557	3.64218	-16.3528	14.8353	-2.74784	6.70765	2.28461	0.555771	-0.019908	-1.54923	0.428534	0.0273927	0.132243	-0.176383	0.0738334	-0.471766	-1.85968	12.0595	-0.236866	-1.29527	-1.4635	-2.34024	6.27813	10.1802	26.6426	-1.20159	-16.4551	16.1117	-2.87063	9.1558	3.23951	0.449066	-0.111623	-0.985224	0.134165	-0.0971674	0.148349	-0.00979763	-0.0487849	-0.201337	-0.727854	9.40353	0.158836	-0.974913	-0.99535	-0.686655	7.863	10.5612	32.043	-0.479968	-18.3188	17.6598	-2.85518	11.3332	2.14722	0.485954	-0.0558306	-1.42508	0.135599	-0.0527488	0.0943348	-0.0555499	0.00186735	-0.27725	-1.30163	10.2151	0.0436434	-2.12482	-0.937749	-1.06134	9.05125	11.1083	34.7831	0.431978	-19.0881	19.7467	-2.97426	11.5776	0.863645	0.55399	-0.0945161	-1.77275	0.228265	-0.085573	0.234422	-0.0567598	0.00554881	-0.407447	-1.92675	12.3017	0.118413	-2.5139	-2.35571	-1.77703
5	4.33528	1.52668	25.2244	3.55328	-16.0726	13.9652	-4.22982	4.79923	2.83309	0.610829	-0.0194115	-0.763831	0.441057	0.0544799	0.355963	-0.154658	0.0412791	-0.199424	-0.860062	11.9506	-0.00349456	-0.961081	-2.71494	-0.377138	6.09402	1.78774	30.1411	3.46327	-15.7146	15.2355	-5.12167	4.82004	2.27474	0.712543	-0.020896	-1.23072	0.464863	0.0530977	0.313669	-0.169824	0.0549177	-0.289125	-1.51467	13.1477	-0.271266	-1.39022	-2.73423	-1.07592	7.33276	1.46318	33.387	4.09189	-15.3081	17.8119	-5.68571	4.88405	1.25632	0.829912	-3.75294e-05	-1.50571	0.584033	0.0805165	0.543611	-0.248557	0.0799239	-0.420632	-2.37527	15.678	-0.422339	-1.89661	-4.98862	-1.88414	6.484	10.9984	27.1559	-0.387571	-16.1577	19.0647	-3.88972	7.99731	2.82313	0.637302	-0.149419	-0.984261	0.248181	-0.104078	0.425823	-0.00282275	-0.0733326	-0.131642	-0.882772	12.0739	0.232924	-1.28248	-3.35538	-0.493062	8.14426	11.4966	32.632	0.477637	-17.897	20.807	-4.54276	9.98846	1.45064	0.702196	-0.0845863	-1.52807	0.255814	-0.0558424	0.403401	-0.0632388	-0.0251854	-0.214277	-1.55995	13.3316	0.064327	-2.74514	-3.86746	-0.754863	9.44989	12.0825	35.287	1.49379	-18.4136	22.8945	-5.25472	9.92331	0.0470542	0.816734	-0.117395	-1.90126	0.387481	-0.0766689	0.616932	-0.0728708	-0.0196321	-0.326221	-2.36329	16.0741	0.0964773	-3.17734	-6.11731	-1.36882
6	4.75077	1.96971	25.5081	3.90454	-15.2907	16.9304	-5.79604	3.23662	3.00775	0.758338	-0.0279491	-0.653675	0.538115	0.0678503	0.71178	-0.18295	0.00825228	-0.0782322	-1.17811	14.1977	-0.0350899	-1.24903	-5.40429	-0.222113	6.62224	2.11614	30.3605	3.77557	-14.7063	18.3959	-7.17708	3.12339	1.80368	0.905929	-0.0239663	-1.12134	0.572861	0.0782212	0.730476	-0.211165	0.0195255	-0.157494	-1.95214	15.7725	-0.340629	-1.77337	-6.20276	-0.625647	8.06182	1.67809	33.4795	4.47855	-14.0282	21.0169	-8.55311	2.99099	0.814024	1.0629	0.0119665	-1.39412	0.707665	0.128241	1.03056	-0.32105	0.0345995	-0.24245	-2.89765	18.6858	-0.597848	-2.50218	-9.26714	-1.3978	6.78151	12.0137	27.7688	0.641666	-15.8553	22.2973	-4.94858	6.63962	3.03909	0.805853	-0.183778	-0.937216	0.378602	-0.104108	0.757876	0.0040465	-0.110813	0.0127728	-1.13168	14.2992	0.297145	-1.57176	-6.53217	-0.494045	8.54814	12.5594	33.2733	1.59616	-17.3538	24.2142	-6.28237	8.43733	1.38247	0.883185	-0.111061	-1.57182	0.393442	-0.0524901	0.789112	-0.07097	-0.0746395	-0.0634942	-1.86087	16.0386	0.0697118	-3.22194	-7.76049	-0.59303	10.0073	12.9895	35.7864	2.60957	-17.4502	26.2906	-7.69225	8.01176	-0.132508	1.03664	-0.130728	-1.95197	0.543178	-0.0581981	1.07145	-0.0970406	-0.0843958	-0.12058	-2.76348	19.2614	0.0174042	-3.81393	-10.7282	-1.16389
7	5.30979	2.58017	25.7854	4.26631	-14.6302	19.9742	-7.02984	1.72613	3.6976	0.932908	-0.0456835	-0.536339	0.638826	0.0731008	1.08722	-0.205208	-0.0434487	0.0992072	-1.56818	15.9898	-0.0105981	-1.60343	-8.05964	-0.452273	7.2881	2.4792	30.5433	4.07959	-13.748	21.6232	-8.9602	1.46935	1.98627	1.07933	-0.0333667	-1.01566	0.665512	0.0967304	1.17277	-0.25156	-0.0456235	0.0522229	-2.42078	17.8859	-0.359848	-2.12462	-9.63063	-0.634263	8.94147	1.80436	33.5141	4.75242	-12.7247	24.3228	-11.093	1.18212	1.05286	1.28062	0.00867976	-1.275	0.801317	0.159422	1.5495	-0.390679	-0.0611632	0.0270816	-3.39159	20.9679	-0.690513	-3.06747	-13.3772	-1.5827	7.21087	13.1415	28.4417	1.79801	-15.5851	25.6449	-5.96986	5.19714	3.81993	0.960979	-0.218385	-0.878033	0.523135	-0.102072	1.11685	0.008146	-0.160933	0.210826	-1.47561	16.0423	0.360229	-1.87125	-9.83503	-0.935118	9.09334	13.6066	33.9071	2.76298	-16.7038	27.705	-7.96387	6.77995	1.94151	1.03801	-0.134174	-1.59021	0.538432	-0.0438631	1.21712	-0.0848269	-0.144714	0.153349	-2.19438	18.2458	0.0686969	-3.52445	-11.7155	-0.995255	10.7296	13.6809	36.2454	3.64826	-16.3149	29.8063	-10.075	6.02999	0.371624	1.22696	-0.138665	-1.96628	0.680859	-0.0377748	1.56673	-0.134521	-0.189355	0.17	-3.11543	21.7178	-0.0894445	-4.29834	-15.2262	-1.82443
8	5.9915	3.28036	26.0225	4.59141	-14.1181	22.9356	-7.87155	0.356812	4.77753	1.13651	-0.0768248	-0.431831	0.744495	0.0696582	1.4484	-0.221679	-0.104489	0.306868	-1.94944	17.4596	0.0947527	-1.96851	-10.0447	-1.03961	8.05565	2.84218	30.6528	4.33825	-12.9253	24.7623	-10.3525	-0.021168	2.75971	1.27305	-0.0597672	-0.935818	0.75855	0.1029	1.59836	-0.287952	-0.132076	0.309102	-2.83577	19.6148	-0.293528	-2.38772	-12.1824	-1.2714	9.90998	1.86418	33.4579	4.8773	-11.5575	27.565	-13.089	-0.395937	1.9339	1.51886	-0.0280271	-1.17744	0.884394	0.161487	2.05136	-0.447492	-0.193581	0.340068	-3.77428	22.6998	-0.637547	-3.42276	-16.2629	-2.5349	7.77053	14.214	29.1003	2.93262	-15.3339	28.9222	-6.8512	3.81208	5.00283	1.10916	-0.260509	-0.838772	0.673921	-0.103033	1.4703	0.010859	-0.219624	0.435581	-1.84773	17.4547	0.442609	-2.13795	-12.3648	-1.74547	9.75603	14.4452	34.4561	3.80434	-15.965	31.0901	-9.4482	5.16811	3.00218	1.19754	-0.171338	-1.60847	0.685576	-0.0428624	1.64813	-0.0997971	-0.234868	0.405738	-2.50235	20.0723	0.0947086	-3.54324	-14.6191	-1.98755	11.5787	14.0079	36.6006	4.43506	-15.1397	33.2737	-12.1623	4.22132	1.48833	1.41663	-0.16961	-1.99071	0.801816	-0.0358925	2.05938	-0.172429	-0.328514	0.494916	-3.36797	23.5732	-0.157669	-4.35256	-18.3352	-3.3424
9	6.73225	3.93441	26.1723	4.82937	-13.6913	25.6667	-8.33264	-0.826179	6.11124	1.3342	-0.116201	-0.358675	0.839305	0.0635322	1.76846	-0.236587	-0.163829	0.525633	-2.22277	18.7738	0.251773	-2.18176	-10.8838	-1.81017	8.85562	3.14143	30.636	4.50988	-12.23	27.6554	-11.2945	-1.27756	3.99542	1.48051	-0.104956	-0.885102	0.849252	0.0980388	1.97273	-0.31935	-0.226783	0.586947	-3.09173	21.1334	-0.149927	-2.39134	-13.2446	-2.36588	10.8685	1.85894	33.2461	4.8381	-10.5481	30.5596	-14.4235	-1.67829	3.34039	1.77168	-0.0982087	-1.10725	0.963918	0.142127	2.48889	-0.490258	-0.335575	0.66178	-3.93289	24.1234	-0.450105	-3.22202	-17.1381	-3.89753	8.4096	15.0237	29.6394	3.87669	-15.0358	31.956	-7.52392	2.5943	6.43417	1.239	-0.311436	-0.851818	0.810246	-0.107878	1.78743	0.0135506	-0.281816	0.670051	-2.13824	18.7338	0.54763	-2.28329	-13.36	-2.72001	10.4714	14.8942	34.8267	4.5418	-15.1494	34.195	-10.6215	3.74386	4.42055	1.35985	-0.229853	-1.65793	0.815645	-0.0540229	2.03798	-0.111195	-0.338187	0.67395	-2.6823	21.6796	0.160073	-3.1456	-15.5561	-3.31453	12.467	13.8885	36.753	4.82931	-14.0137	36.4998	-13.7616	2.76533	3.1107	1.59966	-0.235878	-2.05926	0.900406	-0.0559233	2.49556	-0.199942	-0.482636	0.82295	-3.42602	25.0389	-0.149471	-3.59409	-18.982	-5.2574
