PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	4.25078	-10.4805	28.9604	-0.0731964	-5.85263	0.297286	-1.21921	7.63076	7.09252	-0.0622739	0.0457592	-1.02334	0.0482376	0.0492839	-0.547862	-0.0165051	0.0324587	0.0251922	0.121018	0.753461	-0.01297	0.780453	1.50741	0.037399	5.08606	-9.02321	34.7191	-0.376501	-4.96133	-2.39999	3.04193	10.5061	7.38558	-0.124887	0.0499843	-1.30117	0.0606014	0.0319005	-0.754615	-0.00280527	0.00994593	0.0687387	0.125738	0.740244	0.0358686	1.36285	2.39559	0.152392	6.54066	-11.8237	39.2809	-0.468832	-5.61102	-1.26256	6.21974	14.0937	5.39232	-0.15398	0.00605968	-1.54144	0.0746973	0.00390194	-0.884983	0.00651065	-0.0126699	0.0860049	0.137539	0.818365	0.00961624	2.25493	3.46725	0.193227	-0.557497	-3.33689	31.2781	1.80255	-22.7413	7.07395	-2.73854	14.1362	10.2054	-0.0847658	-0.0673198	-0.872688	-0.0506049	-0.0476518	-0.440606	0.00892281	-0.0411493	0.0125416	-0.0895267	0.62733	-0.0493106	1.03943	0.831084	-0.0396203	0.829793	-2.3391	37.9335	1.95237	-21.2646	6.86516	-2.06382	14.3607	11.087	-0.133079	-0.0544963	-1.13644	-0.0600552	-0.0254543	-0.595719	0.0110832	-0.0230751	0.0262751	-0.158714	0.723033	-0.0584024	2.23282	0.908175	0.0531633	2.03463	-3.38037	44.5129	1.74622	-17.6698	8.79752	0.282636	15.3611	11.9785	-0.168118	-0.0526708	-1.42059	-0.038012	-0.00895065	-0.752895	0.0136306	-0.0161562	0.0462804	-0.105768	0.838126	-0.0450049	3.71276	0.809855	0.102343
1	4.37137	-10.098	28.6916	-0.0649249	-6.00919	1.58035	-1.59839	7.66341	6.36163	-0.0359301	0.0537031	-1.04552	0.0526678	0.0529424	-0.527098	-0.0312933	0.0442467	-0.0276843	0.209447	1.78065	-0.0680256	0.556789	2.02862	-0.0961276	5.31122	-8.76287	34.4138	-0.345038	-4.73397	-0.797401	2.29877	10.298	6.42207	-0.0911207	0.0534407	-1.34158	0.0601551	0.0340784	-0.741732	-0.0165519	0.0201748	-0.00155121	0.146374	1.89713	-0.00313758	0.93182	3.58202	-0.0149683	6.88322	-11.6533	38.8904	-0.457903	-5.68588	0.626473	5.09303	13.8362	4.45046	-0.0768249	0.00559677	-1.56586	0.0791344	0.00288065	-0.847791	-0.0139637	-0.00397796	-0.00737043	0.0770026	2.14458	-0.0230929	1.55319	4.781	-0.0870671	-0.476277	-3.05274	30.8622	1.78492	-22.252	7.88972	-3.39682	13.6043	9.01002	-0.0586079	-0.0687884	-0.868689	-0.0386167	-0.0577598	-0.400043	-0.00596404	-0.0392685	-0.0331915	-0.063591	1.53564	-0.037748	0.85032	1.20348	-0.25213	1.00275	-2.06129	37.2962	1.82468	-20.4053	7.71073	-2.86466	13.6568	9.75972	-0.0974767	-0.055371	-1.13592	-0.0525891	-0.0358624	-0.542307	-0.0113005	-0.0185704	-0.0389353	-0.231967	1.79612	-0.0341698	1.78461	1.74188	-0.24608	2.24477	-2.86618	43.6704	1.58339	-17.2071	9.51966	-0.468501	14.5698	10.5797	-0.14004	-0.0558382	-1.43983	-0.0479955	-0.0285647	-0.681357	-0.0173797	-0.0137351	-0.0472887	-0.243252	2.1491	-0.00105441	2.88692	1.96567	-0.433405
2	4.4905	-9.61354	28.4998	-0.0421399	-6.34368	3.24781	-2.10117	7.77255	5.36588	0.0167758	0.0631037	-1.06477	0.0674491	0.0580192	-0.490191	-0.0518608	0.0589319	-0.0912379	0.293713	3.22661	-0.131576	0.323602	2.3139	-0.321798	5.5492	-8.43584	34.2137	-0.307263	-4.70176	1.33052	1.2714	10.1189	5.02922	-0.027039	0.0585447	-1.39392	0.0717371	0.0372253	-0.709945	-0.0364279	0.0360822	-0.0932932	0.133794	3.56234	-0.0511375	0.529657	4.42769	-0.4476	7.19843	-11.2954	38.6371	-0.399246	-5.93855	3.07423	3.63415	13.6694	3.14909	0.0306628	0.00769892	-1.60441	0.106691	0.00409849	-0.780521	-0.0430214	0.0125014	-0.124711	-0.0631414	4.06101	-0.0524086	0.900373	5.54431	-0.692837	-0.389723	-2.70981	30.5449	1.83885	-21.6771	9.12299	-4.20283	12.9765	7.53918	-0.0188839	-0.0722533	-0.884517	-0.0129058	-0.0689221	-0.344307	-0.023494	-0.0363009	-0.0888909	-0.0169878	2.83725	-0.0239691	0.618904	1.40751	-0.576821	1.21119	-1.67964	36.8283	1.78124	-19.5152	9.13404	-3.89401	12.8196	7.95023	-0.0454774	-0.0574214	-1.16968	-0.0298043	-0.0477281	-0.471835	-0.0367108	-0.0100588	-0.124505	-0.306699	3.33497	-0.00421088	1.28149	2.29885	-0.847651	2.47018	-2.21366	43.073	1.55151	-16.777	10.8976	-1.52508	13.6244	8.5862	-0.0916826	-0.0610265	-1.49086	-0.0436509	-0.0512869	-0.589426	-0.0517392	-0.00712505	-0.170805	-0.427617	4.03361	0.0574663	2.02176	2.68883	-1.49224
3	4.62083	-9.08607	28.3813	-0.00472236	-6.67868	5.22781	-2.70702	7.82098	4.24598	0.102182	0.070498	-1.0501	0.0948809	0.0639651	-0.416679	-0.0764173	0.0725926	-0.153157	0.327487	5.05076	-0.190932	0.0803693	2.23309	-0.523527	5.80947	-8.07892	34.0986	-0.264221	-4.73019	3.8814	0.0202815	9.91184	3.39444	0.0800854	0.0634255	-1.41248	0.102094	0.0431526	-0.627202	-0.062538	0.0560843	-0.189919	0.044871	5.7025	-0.101017	0.130455	4.64893	-0.971024	7.50192	-10.7972	38.5023	-0.283097	-6.14925	5.9709	1.91336	13.4584	1.661	0.184402	0.00938978	-1.61728	0.166892	0.0103937	-0.652334	-0.0780029	0.0350725	-0.239985	-0.325739	6.54161	-0.0666586	0.246678	5.42695	-1.36601	-0.299664	-2.37983	30.3438	1.95567	-20.939	10.7465	-5.12953	12.21	5.99474	0.0488897	-0.0786749	-0.88763	0.0321188	-0.0792517	-0.252601	-0.0410475	-0.0345927	-0.144056	0.0186774	4.51223	-0.00691404	0.332306	1.29336	-0.886381	1.44189	-1.25488	36.5473	1.83115	-18.5703	11.098	-5.1065	11.8703	5.89578	0.0478945	-0.0617245	-1.19628	0.0209244	-0.0584514	-0.354872	-0.060892	0.000729121	-0.216402	-0.396614	5.315	0.0295677	0.676697	2.31556	-1.54755	2.70412	-1.51049	42.7174	1.66983	-16.2944	12.8736	-2.86611	12.5878	6.18643	0.00905527	-0.0687237	-1.53185	-0.00334581	-0.0714743	-0.445296	-0.082761	0.00404409	-0.303372	-0.670804	6.45701	0.126722	1.08421	2.65496	-2.72109
4	4.77877	-8.57058	28.3309	0.045779	-6.84394	7.4605	-3.36132	7.66619	3.19463	0.217949	0.0709369	-0.98413	0.135747	0.0685865	-0.290396	-0.100421	0.079139	-0.195954	0.259386	7.12773	-0.225686	-0.154985	1.65958	-0.54141	6.10746	-7.7304	34.0503	-0.221012	-4.66163	6.76652	-1.35045	9.5814	1.80601	0.228713	0.0626423	-1.35913	0.152539	0.050981	-0.463836	-0.0914569	0.0733008	-0.265362	-0.166431	8.16086	-0.139486	-0.266419	3.91246	-1.22466	7.81812	-10.2181	38.4705	-0.115159	-6.07637	9.22452	0.0648802	13.011	0.273281	0.386519	0.00464118	-1.55968	0.260698	0.0227557	-0.428857	-0.111762	0.0566817	-0.318851	-0.740245	9.39494	-0.05205	-0.409212	3.99771	-1.5975	-0.21168	-2.12445	30.2666	2.1299	-19.9817	12.7222	-6.13782	11.2649	4.61975	0.147685	-0.0899152	-0.843834	0.0958944	-0.0880453	-0.104793	-0.0555158	-0.0391333	-0.182912	-0.010732	6.45792	0.0157354	0.0340917	0.661129	-1.02052	1.67756	-0.855679	36.4522	1.97917	-17.5289	13.5465	-6.44217	10.8151	3.94002	0.187768	-0.0713916	-1.17023	0.102207	-0.0662515	-0.161362	-0.0806898	0.00769945	-0.291264	-0.540893	7.60375	0.0649891	0.046603	1.39329	-1.95489	2.93664	-0.852189	42.5835	1.94409	-15.6599	15.387	-4.44199	11.4982	3.75203	0.176041	-0.0829361	-1.50578	0.0860824	-0.0846011	-0.210039	-0.106195	0.0148429	-0.411722	-0.993023	9.22286	0.198119	0.176036	1.34583	-3.41145
5	4.98378	-8.10554	28.3385	0.106267	-6.72037	9.90103	-4.00129	7.2087	2.4071	0.352547	0.0601512	-0.881427	0.188757	0.0692367	-0.109484	-0.118298	0.072498	-0.200823	0.0575242	9.26713	-0.2183	-0.367001	0.554557	-0.31901	6.46271	-7.41553	34.0516	-0.185703	-4.36535	9.91395	-2.71826	9.03031	0.568602	0.401227	0.0502552	-1.24374	0.218716	0.0575722	-0.213816	-0.117338	0.077267	-0.289999	-0.526657	10.6907	-0.151687	-0.636689	2.05095	-0.971494	8.17685	-9.61431	38.5229	0.0831037	-5.54054	12.7598	-1.74651	12.1622	-0.697123	0.615415	-0.0125975	-1.44615	0.380156	0.0396865	-0.108494	-0.136121	0.065321	-0.322756	-1.29896	12.3007	0.00227151	-0.99932	1.07649	-1.10633	-0.133418	-1.98231	30.3051	2.35759	-18.8035	15.0046	-7.18297	10.1455	3.63329	0.263696	-0.107484	-0.745945	0.170477	-0.0960525	0.106047	-0.0643949	-0.0562625	-0.187663	-0.157862	8.50047	0.0430157	-0.193741	-0.62215	-0.923496	1.90025	-0.542888	36.5168	2.2176	-16.3634	16.4021	-7.83432	9.66776	2.42161	0.350072	-0.0907036	-1.07729	0.202556	-0.0726218	0.123054	-0.0943627	0.000414176	-0.323089	-0.790899	9.9919	0.0990096	-0.432173	-0.760812	-1.81163	3.1589	-0.315712	42.634	2.3551	-14.8016	18.3738	-6.17049	10.3715	1.72759	0.377585	-0.108127	-1.39841	0.213383	-0.0904848	0.132483	-0.120624	0.0125466	-0.456265	-1.41844	12.0218	0.258711	-0.493664	-1.62877	-3.08108
6	5.25629	-7.70749	28.3849	0.173271	-6.26594	12.5111	-4.58005	6.42284	2.04026	0.489331	0.0384728	-0.777336	0.24905	0.066017	0.114394	-0.127752	0.0504483	-0.15391	-0.275258	11.2672	-0.170036	-0.560627	-1.00094	-0.00526517	6.895	-7.13715	34.0796	-0.164622	-3.77783	13.2569	-3.97566	8.20032	-0.0797882	0.571821	0.0241035	-1.11625	0.29176	0.0601935	0.105532	-0.135751	0.0600921	-0.244674	-1.02	13.0299	-0.132568	-0.953077	-0.797598	-0.399876	8.60806	-9.02329	38.6259	0.280123	-4.49537	16.4982	-3.38353	10.8519	-1.00298	0.834857	-0.0447363	-1.33626	0.508294	0.058048	0.282519	-0.148832	0.0507469	-0.232862	-1.94172	14.911	0.0930484	-1.46543	-3.02054	-0.314492	-0.0690662	-1.96159	30.4321	2.63021	-17.4687	17.5429	-8.21254	8.92256	3.18909	0.37171	-0.130621	-0.625935	0.24364	-0.104493	0.368272	-0.0671896	-0.0907345	-0.144863	-0.444785	10.448	0.0670547	-0.305167	-2.5148	-0.722661	2.09863	-0.352285	36.6883	2.5189	-15.0903	19.5676	-9.21036	8.4781	1.5838	0.497755	-0.120599	-0.953107	0.303516	-0.0803708	0.486263	-0.102091	-0.0303864	-0.293208	-1.17488	12.2603	0.125241	-0.646202	-4.05229	-1.25154	3.36994	0.0626292	42.8103	2.85154	-13.7133	21.7582	-7.94127	9.23086	0.486182	0.557274	-0.144421	-1.26012	0.349099	-0.0934232	0.566021	-0.128134	-0.016966	-0.413037	-1.94931	14.5296	0.294363	-0.811236	-6.12685	-2.02473
7	5.61353	-7.37399	28.4391	0.243973	-5.5249	15.2397	-5.07504	5.36832	2.17972	0.618686	0.0101047	-0.698426	0.310992	0.0613816	0.366584	-0.131543	0.015332	-0.0533415	-0.707419	12.9953	-0.0980199	-0.746099	-2.8384	0.117237	7.41837	-6.87787	34.0973	-0.158023	-2.92397	16.709	-5.04965	7.10645	-0.0218398	0.726597	-0.012191	-1.0248	0.364092	0.0594167	0.467063	-0.147511	0.021854	-0.129634	-1.5939	15.0248	-0.0898737	-1.18205	-4.21147	-0.0191733	9.13445	-8.45737	38.7208	0.44217	-3.05814	20.3253	-4.76934	9.17036	-0.539011	1.02209	-0.0873802	-1.27909	0.627427	0.0765881	0.712323	-0.156934	0.0129606	-0.0622168	-2.58894	17.0491	0.204235	-1.74634	-7.57235	-0.0364629	-0.0138346	-2.0419	30.6006	2.92621	-16.0862	20.2737	-9.15807	7.71624	3.35606	0.456342	-0.156748	-0.52837	0.306806	-0.114391	0.660716	-0.06549	-0.143609	-0.0512421	-0.852486	12.1715	0.0808354	-0.322856	-4.7874	-0.659873	2.27432	-0.286721	36.8892	2.83375	-13.7704	22.9235	-10.4826	7.33317	1.53644	0.606633	-0.157696	-0.853951	0.389762	-0.0917336	0.898252	-0.105694	-0.0882492	-0.197517	-1.67489	14.2824	0.138314	-0.626417	-7.94135	-0.723954	3.5804	0.289911	43.0295	3.35177	-12.4578	25.4297	-9.62056	8.12832	0.227225	0.679113	-0.187385	-1.16981	0.465904	-0.0989526	1.05299	-0.13196	-0.0801932	-0.285234	-2.55107	16.5878	0.298626	-0.805389	-11.3659	-1.09299
8	6.06326	-7.09513	28.4567	0.316988	-4.61774	18.0058	-5.48145	4.18397	2.82349	0.747508	-0.0208264	-0.645963	0.374528	0.0584175	0.635148	-0.134949	-0.0269371	0.0904262	-1.18843	14.4339	-0.0135354	-0.920233	-4.71266	-0.156486	8.03398	-6.61487	34.0485	-0.159432	-1.91188	20.1439	-5.90285	5.85296	0.726946	0.875124	-0.0542351	-0.977279	0.436351	0.0579764	0.848669	-0.15705	-0.0296968	0.0371705	-2.17708	16.6867	-0.0264334	-1.28005	-7.59064	-0.225454	9.76302	-7.9126	38.7197	0.541885	-1.47621	24.0734	-5.87651	7.34852	0.648947	1.18513	-0.136829	-1.2642	0.731069	0.0936661	1.16227	-0.1684	-0.0388734	0.153638	-3.16866	18.7693	0.328855	-1.73746	-11.7012	-0.694243	0.0460652	-2.18816	30.7483	3.20926	-14.77	23.1071	-9.93833	6.65412	4.11166	0.530938	-0.184758	-0.472119	0.363072	-0.126103	0.965284	-0.061167	-0.21141	0.0853198	-1.32756	13.65	0.0945983	-0.28678	-7.0872	-0.916234	2.4408	-0.325876	37.025	3.09881	-12.4785	26.3227	-11.5492	6.32653	2.25814	0.69041	-0.198802	-0.805554	0.459959	-0.107014	1.32825	-0.107101	-0.169533	-0.0457397	-2.22549	16.0633	0.148542	-0.445578	-11.6352	-0.659397	3.80941	0.394941	43.1827	3.75673	-11.1307	29.2199	-11.0644	7.13448	0.948031	0.757315	-0.233517	-1.1565	0.555219	-0.110414	1.56122	-0.134409	-0.172063	-0.0974791	-3.15829	18.2678	0.288691	-0.50075	-16.1989	-0.952071
9	6.59809	-6.86918	28.3817	0.391155	-3.70283	20.6961	-5.79833	3.05757	3.8965	0.889346	-0.0549166	-0.609782	0.445368	0.0580978	0.905166	-0.140814	-0.0700092	0.26128	-1.64995	15.6476	0.0897634	-1.06836	-6.27296	-0.82493	8.72471	-6.33786	33.8608	-0.160016	-0.895071	23.3997	-6.52293	4.61382	2.0541	1.03368	-0.103415	-0.956598	0.516434	0.056741	1.22613	-0.166665	-0.0851857	0.233455	-2.67896	18.1217	0.0703359	-1.19539	-10.19	-1.05348	10.4786	-7.38696	38.5157	0.563274	-0.026044	27.5428	-6.69747	5.67703	2.42219	1.34087	-0.194664	-1.2609	0.823475	0.106523	1.605	-0.184121	-0.0936292	0.382858	-3.59227	20.2293	0.471349	-1.33601	-14.3953	-2.10126	0.126719	-2.37233	30.8035	3.43837	-13.5999	25.9232	-10.4818	5.82911	5.35651	0.622501	-0.21799	-0.443898	0.423133	-0.140273	1.26982	-0.054207	-0.288076	0.250249	-1.79653	14.9443	0.135178	-0.21949	-9.00322	-1.49987	2.61504	-0.44764	36.9966	3.2539	-11.267	29.5957	-12.3192	5.52342	3.62683	0.785877	-0.24692	-0.793062	0.524703	-0.126257	1.75024	-0.105708	-0.266782	0.146256	-2.72747	17.6841	0.183524	-0.138428	-14.315	-1.21538	4.07588	0.398397	43.1429	3.97298	-9.81447	32.9065	-12.1514	6.31096	2.48994	0.839491	-0.289115	-1.18377	0.627878	-0.130581	2.06479	-0.133162	-0.282795	0.124473	-3.67554	19.7492	0.303316	0.120592	-19.4025	-1.71089
