PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	4.38785	-3.85193	34.2936	2.81467	-17.3662	12.845	7.49778	9.08609	4.19255	-0.0152767	-0.0510109	-0.860945	0.0375226	-0.00325116	-0.494617	0.00448163	-0.000313953	0.0289853	-0.193331	0.551831	0.010563	0.335229	1.15323	0.0370693	5.79835	-4.1171	40.1314	3.28618	-18.5296	13.9018	7.91121	10.3814	4.24461	-0.0923798	-0.0811276	-1.18308	0.0467337	-0.0155398	-0.63467	0.0133896	-0.0115276	0.0248898	-0.289788	0.577593	-0.0227846	1.2083	1.48498	0.0364533	7.6241	-3.47079	42.6888	3.60494	-19.3103	16.2857	7.94663	11.883	5.44691	0.00356863	-0.109847	-1.42713	0.0971214	-0.026071	-0.700085	0.0286194	-0.0193033	0.0322453	-0.302183	0.712923	0.00108961	2.93008	1.75904	0.0859653	0.116489	-0.572223	33.8568	3.33603	-10.9418	12.9634	-3.1363	6.06101	5.94435	-0.0687953	-0.0514681	-0.9473	-0.00496605	0.00500093	-0.493724	0.00399651	0.00810814	0.0204621	-0.27217	0.542858	-0.0211267	0.785234	0.599304	0.0570236	1.25803	-0.338319	38.3633	3.18098	-11.8097	12.8394	-3.33431	6.82487	6.44591	-0.0782078	-0.030088	-1.15627	-0.00204587	0.0259391	-0.577068	0.00242717	0.0303141	0.0149617	-0.328362	0.579767	-0.0383243	1.36947	1.21028	0.077504	2.5435	1.01087	40.7978	3.11536	-11.5926	14.3408	-1.33529	8.99621	4.2268	0.018177	-0.0027386	-1.37881	0.0287578	0.0493044	-0.672126	0.0048144	0.0509922	0.0257442	-0.395866	0.71017	0.0042008	2.60734	1.17812	0.148888
1	4.72877	-3.51707	34.1673	2.92144	-17.0223	13.9516	6.32664	8.83846	3.73369	0.115213	-0.0581107	-0.892912	0.100977	0.00204256	-0.45592	-0.00200651	0.00216721	-0.00259163	-0.195478	1.26734	0.0367735	0.181904	1.59551	-0.00746714	6.23957	-3.855	39.7956	3.47745	-18.5533	15.0484	6.77181	10.3635	3.76332	0.0740676	-0.0905472	-1.19105	0.118982	-0.013438	-0.568641	0.00262196	-0.0113959	-0.0274113	-0.373401	1.36435	-0.0151137	1.10067	2.10214	-0.0539567	8.26291	-3.06114	42.0102	3.8789	-19.6109	17.3626	6.48636	11.6273	4.81707	0.197399	-0.123445	-1.41263	0.182322	-0.0276506	-0.598893	0.0149851	-0.0203888	-0.0453251	-0.472584	1.72865	0.0153196	2.55086	2.13292	-0.129491	0.459856	-0.121336	33.5892	3.34831	-10.6775	13.6312	-4.01646	5.47289	5.15403	0.0322981	-0.0575835	-0.969489	0.0286179	-0.00183233	-0.454556	-0.00199465	0.00196558	-0.0211944	-0.278989	1.27899	0.00283256	0.714375	1.08895	-0.0586279	1.82134	0.267804	37.9732	3.35138	-12.1302	13.8469	-4.25518	6.49648	5.37871	0.0447141	-0.0343841	-1.16163	0.0381065	0.017023	-0.510101	-0.00764717	0.0273215	-0.0468567	-0.437411	1.40907	-0.0266689	1.21423	1.66994	-0.161631	3.24811	1.55041	40.1848	3.46624	-12.4583	15.1945	-2.37355	8.75664	3.04226	0.139719	-0.0169804	-1.3937	0.0805148	0.0339714	-0.582886	-0.0047788	0.047324	-0.0539456	-0.612415	1.7371	0.054318	2.26404	1.72646	-0.146049
2	5.13329	-2.94358	34.0735	3.08521	-16.7628	15.5622	4.81424	8.40404	3.29486	0.275405	-0.0665467	-0.940744	0.184213	0.00956977	-0.404256	-0.0105128	0.00774419	-0.0354093	-0.162083	2.30212	0.0800449	-0.014225	1.78869	-0.0518657	6.75214	-3.37068	39.456	3.71002	-18.6266	16.7237	5.18454	10.1312	3.25088	0.275485	-0.103077	-1.23582	0.216445	-0.00815522	-0.492201	-0.012712	-0.00692957	-0.0866954	-0.443041	2.49629	0.00961043	0.914353	2.38423	-0.190817	8.97147	-2.50171	41.3452	4.20708	-19.9228	18.8429	4.48973	11.1331	4.06048	0.432442	-0.139072	-1.43634	0.301294	-0.0217131	-0.482893	-0.00853216	-0.0124606	-0.138612	-0.669864	3.16703	0.042649	2.0329	2.08689	-0.495852	0.851209	0.511999	33.3371	3.46289	-10.4883	14.782	-5.06359	4.77413	4.19084	0.151178	-0.0653488	-1.01454	0.073733	-0.0106588	-0.409323	-0.010077	-0.00618651	-0.0686384	-0.226137	2.34451	0.0439186	0.631064	1.39547	-0.236807	2.474	0.976435	37.572	3.56221	-12.3971	15.3008	-5.43324	6.10469	4.05289	0.192519	-0.0444833	-1.20263	0.0947122	0.00532261	-0.437397	-0.0229289	0.0220391	-0.121378	-0.529404	2.60941	-0.00230565	1.01045	1.84523	-0.554413	4.04138	2.08609	39.5964	3.84654	-13.1998	16.4575	-3.87993	8.38765	1.63448	0.298792	-0.0425724	-1.43049	0.159474	0.014152	-0.479856	-0.022536	0.0391136	-0.149456	-0.856054	3.19329	0.126633	1.80581	1.87956	-0.680543
3	5.5988	-2.16527	34.0022	3.3116	-16.5704	17.6223	3.11515	7.78392	3.01497	0.446945	-0.0756765	-0.971433	0.279058	0.0199751	-0.321738	-0.0207274	0.016866	-0.0578372	-0.122092	3.6474	0.140488	-0.249388	1.57453	-0.0415814	7.33714	-2.71051	39.1153	3.97234	-18.671	18.8771	3.31237	9.66007	2.82297	0.488099	-0.120107	-1.28579	0.329123	-0.00119217	-0.385373	-0.0319215	0.000210652	-0.140565	-0.50001	3.98746	0.0558163	0.62413	2.19314	-0.285131	9.73812	-1.85527	40.7089	4.56919	-20.1196	20.7002	2.08946	10.3748	3.27587	0.676548	-0.162449	-1.4685	0.443133	-0.0137976	-0.329931	-0.0398955	-0.00116275	-0.22922	-0.890251	5.06201	0.0852225	1.37512	1.49826	-0.857249	1.28541	1.27101	33.0984	3.67105	-10.3516	16.3716	-6.1815	4.00682	3.21978	0.279384	-0.0753037	-1.06305	0.129674	-0.0203405	-0.345976	-0.0203684	-0.0169395	-0.109992	-0.124361	3.72941	0.102973	0.503297	1.43836	-0.381675	3.19976	1.72272	37.1618	3.79982	-12.5025	17.152	-6.79811	5.60001	2.62954	0.352858	-0.0599072	-1.25468	0.165731	-0.00635913	-0.34167	-0.0431622	0.0147567	-0.196791	-0.592555	4.19159	0.0370546	0.728044	1.66581	-0.939366	4.89221	2.56433	39.0394	4.23438	-13.6638	18.0972	-5.81014	7.85055	0.158068	0.483199	-0.0730428	-1.46191	0.263862	-0.0009288	-0.343444	-0.0503206	0.032083	-0.243257	-1.10666	5.10856	0.218939	1.18913	1.61639	-1.2647
4	6.11865	-1.25275	33.9456	3.60231	-16.3817	20.066	1.40696	6.98063	3.04087	0.61042	-0.0861609	-0.950156	0.378813	0.033364	-0.186057	-0.0312812	0.0280798	-0.0564521	-0.133394	5.22384	0.216651	-0.498406	0.753708	0.0371364	7.98784	-1.94264	38.7806	4.25533	-18.5749	21.4432	1.37067	8.91865	2.62464	0.689397	-0.140405	-1.30826	0.448506	0.0095437	-0.226952	-0.0524404	0.0100807	-0.171369	-0.575855	5.77002	0.126342	0.226625	1.28906	-0.225643	10.542	-1.18936	40.1205	4.94817	-20.0574	22.9077	-0.497763	9.31232	2.61451	0.898496	-0.187965	-1.49186	0.595133	0.00197588	-0.122699	-0.0762263	0.0158382	-0.293775	-1.13958	7.31473	0.14048	0.63709	0.142897	-0.954134	1.75368	2.08013	32.8796	3.95986	-10.2183	18.3451	-7.28435	3.20198	2.44004	0.408442	-0.0882102	-1.07545	0.197274	-0.0291507	-0.240781	-0.0326393	-0.0309179	-0.131409	-0.028694	5.35414	0.181761	0.289646	1.05659	-0.407972	3.9703	2.44197	36.7574	4.05525	-12.3445	19.3522	-8.23898	4.92056	1.33201	0.51194	-0.0824876	-1.29121	0.248557	-0.0171009	-0.20451	-0.0660796	0.00218543	-0.253723	-0.645638	6.07746	0.0945674	0.346562	0.968306	-1.08935	5.7586	2.94405	38.5276	4.61533	-13.7113	20.0898	-8.031	7.08518	-1.16892	0.662456	-0.110474	-1.49158	0.381494	-0.0124132	-0.169192	-0.0850332	0.018586	-0.308426	-1.34304	7.36877	0.315825	0.523284	0.825296	-1.58332
5	6.6814	-0.302596	33.8994	3.94453	-16.1123	22.8181	-0.157791	6.01637	3.47311	0.749608	-0.099284	-0.881652	0.478455	0.0501314	0.0080386	-0.0400777	0.0396963	-0.0184026	-0.246856	6.88469	0.300907	-0.729683	-0.743064	0.100421	8.68722	-1.14603	38.4643	4.54923	-18.2279	24.3395	-0.440856	7.89853	2.7832	0.866582	-0.165848	-1.27859	0.570674	0.0245507	0.00208935	-0.070032	0.0200017	-0.161583	-0.719249	7.70271	0.223669	-0.252029	-0.535519	-0.00994267	11.3554	-0.561687	39.603	5.32887	-19.6151	25.4312	-3.03025	7.92487	2.23996	1.08096	-0.216563	-1.48515	0.746785	0.0245014	0.157419	-0.110925	0.0316365	-0.306452	-1.43545	9.7566	0.205674	-0.125895	-2.20921	-0.656861	2.24421	2.85849	32.696	4.30969	-10.0329	20.6422	-8.32404	2.38685	2.01951	0.528109	-0.106893	-1.03332	0.277224	-0.036507	-0.0789414	-0.0455014	-0.0493326	-0.118956	-0.01386	7.06793	0.281672	-0.0106257	0.108175	-0.334941	4.75135	3.08493	36.3886	4.32132	-11.8645	21.8518	-9.64696	4.03149	0.38519	0.661177	-0.113967	-1.28144	0.343047	-0.0256387	-0.00437587	-0.0880243	-0.0180033	-0.272583	-0.735679	8.11168	0.177581	-0.145013	-0.446957	-0.915227	6.59727	3.20744	38.083	4.97425	-13.2541	22.4142	-10.3516	6.04542	-2.11574	0.807913	-0.148885	-1.50725	0.497674	-0.0156572	0.0561414	-0.122985	-0.0040902	-0.318866	-1.55922	9.77685	0.396018	-0.117758	-0.637193	-1.46707
6	7.27313	0.585968	33.863	4.30257	-15.6984	25.7924	-1.47834	4.93831	4.33047	0.861205	-0.114345	-0.808733	0.572901	0.0721963	0.249319	-0.0475167	0.0518467	0.0615914	-0.481777	8.48941	0.382228	-0.938851	-2.75613	-0.00114357	9.41073	-0.390792	38.1827	4.83883	-17.5689	27.4658	-1.99513	6.63126	3.36338	1.01933	-0.198216	-1.2136	0.693624	0.0451187	0.298116	-0.081947	0.0288263	-0.0998161	-0.962045	9.61518	0.343712	-0.752433	-3.21664	0.184769	12.1504	-0.00628176	39.1812	5.69456	-18.7435	28.2175	-5.31376	6.23794	2.27289	1.2277	-0.248348	-1.45949	0.891621	0.0540582	0.506878	-0.139367	0.0412208	-0.249846	-1.78404	12.1683	0.274792	-0.842032	-5.54592	-0.161992	2.74521	3.53759	32.5694	4.69132	-9.75417	23.2002	-9.29079	1.58695	2.04735	0.625531	-0.132769	-0.957843	0.365077	-0.0417286	0.136415	-0.0581819	-0.0722344	-0.0640479	-0.132007	8.70564	0.394563	-0.349251	-1.40473	-0.297471	5.51095	3.63078	36.0944	4.59051	-11.076	24.5962	-10.9521	2.94789	-0.0513972	0.792425	-0.156735	-1.23012	0.446368	-0.0326791	0.259573	-0.105684	-0.0479983	-0.23856	-0.902908	10.0942	0.286878	-0.678537	-2.62163	-0.597117	7.37386	3.36718	37.7324	5.28736	-12.2921	25.0388	-12.5792	4.73162	-2.51057	0.907225	-0.185588	-1.51811	0.598779	-0.0110808	0.330018	-0.160436	-0.0414996	-0.258397	-1.75441	12.0806	0.437522	-0.670629	-2.82578	-1.12341
7	7.88211	1.33652	33.838	4.62224	-15.1323	28.8854	-2.51177	3.81425	5.54822	0.968104	-0.134133	-0.762365	0.664578	0.0989935	0.529118	-0.0541865	0.0648488	0.176596	-0.835151	9.98249	0.465412	-1.1627	-5.01669	-0.353416	10.134	0.279664	37.9533	5.10211	-16.6246	30.7049	-3.25022	5.1916	4.34853	1.15819	-0.236927	-1.14563	0.814307	0.0726898	0.647962	-0.0902107	0.0376941	0.0116909	-1.31259	11.4042	0.478704	-1.23425	-6.41568	0.125555	12.9059	0.472762	38.8748	6.02525	-17.502	31.1828	-7.24082	4.33797	2.75228	1.35443	-0.282858	-1.4343	1.02357	0.089321	0.911841	-0.162879	0.0415108	-0.12308	-2.17958	14.3984	0.341509	-1.4615	-9.51725	0.105635	3.24884	4.07607	32.5196	5.06525	-9.36936	25.9487	-10.189	0.82377	2.52216	0.699805	-0.163968	-0.884555	0.454215	-0.0433516	0.394672	-0.0719088	-0.0978458	0.031267	-0.401721	10.1739	0.504703	-0.684182	-3.3425	-0.439667	6.22686	4.09056	35.9111	4.85341	-10.068	27.518	-12.1259	1.73391	0.0775852	0.898817	-0.206738	-1.16797	0.54967	-0.0368552	0.574478	-0.120878	-0.0859102	-0.15007	-1.16432	11.8842	0.408197	-1.15584	-5.38502	-0.454379	8.06946	3.46416	37.499	5.52124	-10.933	27.9039	-14.5621	3.20851	-2.29188	0.97602	-0.218287	-1.53016	0.678384	-0.0005196	0.648227	-0.197422	-0.0949432	-0.130018	-1.94259	14.1142	0.434217	-1.13095	-5.64479	-1.00998
8	8.50037	1.90838	33.8238	4.85102	-14.4688	31.971	-3.26854	2.72196	7.00932	1.09573	-0.164681	-0.740076	0.75901	0.126827	0.843457	-0.0590221	0.0783726	0.314129	-1.2771	11.4053	0.563148	-1.42701	-7.1994	-0.912685	10.8399	0.854611	37.7878	5.31719	-15.5145	33.9258	-4.22551	3.6902	5.65644	1.30218	-0.283113	-1.08746	0.932805	0.10523	1.03954	-0.0976554	0.0475848	0.159915	-1.75537	13.0689	0.627317	-1.67729	-9.63916	-0.291398	13.6111	0.896364	38.687	6.3021	-16.059	34.2082	-8.78286	2.37104	3.63714	1.48431	-0.32081	-1.40805	1.14187	0.126927	1.36012	-0.186312	0.0329878	0.0581014	-2.60968	16.4075	0.412434	-1.94428	-13.502	-0.174862	3.75311	4.46331	32.5529	5.38807	-8.89973	28.7957	-11.018	0.115207	3.36999	0.771427	-0.199735	-0.826301	0.543828	-0.0415214	0.689683	-0.08762	-0.124514	0.156103	-0.809811	11.4937	0.604872	-0.995538	-5.48154	-0.804402	6.88988	4.49673	35.8534	5.09901	-8.98204	30.5245	-13.1613	0.486043	0.725564	0.992336	-0.258808	-1.11279	0.64854	-0.0373509	0.930033	-0.137944	-0.127826	-0.0198754	-1.52105	13.466	0.53037	-1.50523	-8.4049	-0.683484	8.681	3.55272	37.3867	5.64364	-9.37603	30.9109	-16.2053	1.60264	-1.50649	1.05397	-0.251289	-1.52449	0.743375	0.0095746	1.01532	-0.234307	-0.162306	0.045758	-2.15844	15.8564	0.414347	-1.49082	-8.88184	-1.43477
9	9.12037	2.2941	33.8099	4.9587	-13.797	34.9108	-3.79637	1.73221	8.5903	1.23816	-0.203727	-0.733543	0.849962	0.154861	1.17708	-0.0626809	0.0937826	0.465996	-1.73738	12.8342	0.666424	-1.68851	-8.86001	-1.56994	11.518	1.34665	37.6814	5.47296	-14.4107	36.9924	-4.96782	2.25285	7.1781	1.45925	-0.3366	-1.0378	1.04744	0.139508	1.4519	-0.105773	0.059338	0.332573	-2.23341	14.6675	0.783242	-2.0204	-12.2717	-1.01137	14.2629	1.29634	38.5911	6.51621	-14.6407	37.1494	-9.95889	0.516068	4.84436	1.63466	-0.367355	-1.36656	1.25142	0.160542	1.82916	-0.210996	0.0174308	0.274263	-3.03221	18.2245	0.50435	-2.18641	-16.6544	-1.03261	4.25923	4.70976	32.6475	5.62518	-8.39064	31.6207	-11.7728	-0.522817	4.48246	0.858783	-0.241237	-0.782923	0.633394	-0.0387695	1.00895	-0.104759	-0.152779	0.300406	-1.2981	12.7559	0.69451	-1.24792	-7.43435	-1.34051	7.50128	4.88187	35.8973	5.31881	-7.96851	33.4945	-14.058	-0.690242	1.78394	1.09623	-0.313653	-1.06109	0.746136	-0.0370978	1.31289	-0.158072	-0.171928	0.13702	-1.94199	14.9158	0.655318	-1.66575	-11.1494	-1.27059	9.21587	3.67841	37.3645	5.64174	-7.85314	33.9253	-17.4688	0.0729476	-0.260827	1.17407	-0.297106	-1.4778	0.808415	0.008794	1.42631	-0.266819	-0.24028	0.247073	-2.41517	17.3786	0.428586	-1.6344	-12.0676	-2.35647
