PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	4.14408	-1.48609	38.7085	-3.20032	-16.9565	9.29642	10.8136	10.1999	-2.90136	-0.163345	0.0301197	-0.821274	-0.12527	-0.0236239	-0.54494	-0.0101592	-0.0258268	0.075995	-0.0471916	0.645093	-0.108785	0.348151	2.02536	-0.0348767	4.53242	-2.10942	43.6382	-3.04539	-18.5893	10.0142	13.5747	11.7481	-5.18563	-0.233096	0.0394922	-1.18376	-0.140098	-0.0251641	-0.686824	-0.00503268	-0.0196751	0.0930051	-0.120348	0.6864	-0.104937	1.54031	2.16684	0.0143208	4.67679	-2.00445	47.6035	-2.52303	-22.6375	12.9307	14.7281	12.7938	-5.41442	-0.407364	0.04611	-1.52167	-0.194609	-0.047568	-0.816118	0.00928636	-0.0279923	0.110876	-0.185162	0.755771	-0.0901041	3.75215	1.50088	0.095505	5.19694	-1.42775	36.9935	-0.973736	-21.6421	5.17071	0.597465	13.6617	-0.142683	0.298853	0.0335179	-0.93641	0.161031	0.00886711	-0.662707	0.0447234	0.0271611	0.0434016	0.0777666	0.563543	0.326105	0.0441425	2.3679	0.0712958	5.27593	-3.88848	40.4384	-1.18732	-20.4838	5.12551	0.534533	13.383	-1.68449	0.242081	0.0111205	-1.28059	0.180891	-0.00880025	-0.783887	0.0512638	0.0106098	0.0453003	-0.009288	0.766999	0.339011	0.799378	2.79723	0.117958	6.06733	-4.50492	43.8852	-1.02137	-21.3482	7.94953	2.26391	15.0732	-2.65559	0.191692	-7.62791e-05	-1.68183	0.184382	-0.0136407	-0.899565	0.0604667	0.00977349	0.0594898	-0.123209	0.78317	0.342324	3.51804	0.847031	0.179278
1	4.34888	-0.807869	38.5957	-2.93681	-17.3912	11.2152	9.9075	10.296	-2.85271	-0.0956474	0.0209203	-0.869729	-0.0729776	-0.0235405	-0.472192	-0.0136868	-0.0238529	0.0518226	-0.1625	1.93458	0.0267308	0.106455	2.37417	-0.0980158	4.84103	-1.44452	43.2035	-2.84997	-18.7758	11.6523	12.7121	11.6016	-5.33153	-0.145256	0.0231527	-1.22246	-0.0883176	-0.0354761	-0.593177	-0.00943341	-0.0355039	0.0408254	-0.330401	2.1408	0.0393905	1.02129	2.8042	-0.0796162	5.0265	-1.87477	46.8176	-2.32606	-22.6266	13.9327	14.1389	12.2974	-5.80261	-0.357219	0.0204202	-1.54245	-0.152625	-0.0675134	-0.686816	-0.00173432	-0.065068	0.0271859	-0.470892	2.39563	0.0382661	2.96343	2.2883	-0.121502	5.31117	-0.659042	36.9824	-0.751028	-21.7588	7.12181	0.0768876	13.8889	-0.595324	0.374824	0.0113887	-1.03103	0.215488	-0.000742632	-0.610056	0.0303624	0.0189439	0.0182063	0.0382384	1.79419	0.450715	-0.26562	2.99458	0.086795	5.44848	-3.19022	40.1786	-1.05167	-20.4922	6.80499	-0.204766	13.387	-2.25868	0.322793	-0.009052	-1.34711	0.227515	-0.0226035	-0.709518	0.0258058	-0.003071	-0.00938025	-0.14757	2.25644	0.469404	0.132968	3.59776	0.00517154	6.30998	-4.31959	43.1976	-1.00714	-20.937	8.78363	1.41335	14.723	-3.24918	0.27869	-0.0215158	-1.73016	0.228057	-0.0334981	-0.799409	0.0233063	-0.0151491	-0.0186137	-0.363234	2.43133	0.475645	2.46818	2.22467	-0.0219107
2	4.60971	-0.0547782	38.6108	-2.53625	-17.7258	13.6849	8.43678	10.0312	-2.46773	0.00481711	0.0101676	-0.932783	0.0116195	-0.0156234	-0.353794	-0.0215358	-0.0135863	0.0411095	-0.322216	3.9048	0.194689	-0.21179	2.14242	-0.165025	5.20622	-0.707535	42.955	-2.52583	-18.8674	13.8766	11.2854	11.1914	-5.21272	-0.00584268	0.00391073	-1.27849	0.00635049	-0.0381963	-0.447354	-0.0162295	-0.0416385	-0.00856463	-0.620317	4.37401	0.227528	0.408652	2.76265	-0.169616	5.39863	-1.69906	46.2563	-2.04405	-22.3891	15.523	12.9514	11.6384	-5.97071	-0.220153	-0.00692614	-1.58587	-0.05137	-0.0778286	-0.501455	-0.0171564	-0.0922975	-0.0644414	-0.862026	4.90081	0.200839	2.1178	2.38962	-0.375023	5.5	0.10702	37.0971	-0.430652	-21.6841	9.69054	-1.05078	13.7267	-0.974092	0.511434	-0.0205287	-1.12352	0.307665	-0.00988342	-0.51087	0.0114774	0.005615	0.00164947	-0.0603963	3.70611	0.619784	-0.634107	2.959	0.0295425	5.67968	-2.40076	40.1199	-0.802333	-20.5022	9.17624	-1.49987	13.156	-2.83597	0.477202	-0.036788	-1.42599	0.318658	-0.0353215	-0.584604	-0.0063375	-0.0197232	-0.0630908	-0.369311	4.5151	0.642877	-0.56735	3.47947	-0.232172	6.53288	-3.98666	42.7568	-0.853691	-20.6071	10.3241	0.000317442	14.2649	-3.86542	0.421035	-0.0493135	-1.78685	0.312226	-0.0524977	-0.649029	-0.0245791	-0.0424635	-0.106528	-0.702872	4.93817	0.650709	1.40695	2.87209	-0.459074
3	4.94529	0.758353	38.7577	-2.0127	-17.7479	16.657	6.4719	9.20693	-1.52174	0.14343	-0.000177895	-0.982186	0.124843	0.00424763	-0.163762	-0.0323482	0.00778053	0.0658024	-0.51877	6.41935	0.337821	-0.622927	0.980704	-0.268873	5.62757	0.0609061	42.8879	-2.06202	-18.6577	16.6321	9.27028	10.2955	-4.57688	0.18742	-0.0179224	-1.33126	0.146474	-0.0269802	-0.225153	-0.0234668	-0.029432	-0.0258954	-0.961592	7.2796	0.418111	-0.305296	1.62832	-0.163245	5.78197	-1.5021	45.9049	-1.66704	-21.7581	17.6542	11.0563	10.6421	-5.66927	0.0172655	-0.0347402	-1.64877	0.115193	-0.0697782	-0.247422	-0.0334927	-0.0927509	-0.123385	-1.32053	8.20688	0.366526	1.19713	1.47245	-0.472891	5.76936	0.895399	37.3243	0.0131947	-21.3189	12.763	-2.75868	12.9718	-1.07588	0.658958	-0.0617724	-1.1373	0.410553	-0.0178308	-0.325236	-0.0127013	-0.0208492	0.0192124	-0.261028	6.17937	0.797769	-1.02141	1.87345	-0.131746	5.97555	-1.54478	40.2382	-0.41087	-20.3431	12.1278	-3.34696	12.4698	-3.21847	0.671192	-0.0722445	-1.45351	0.436233	-0.0434577	-0.372382	-0.0431083	-0.0448745	-0.0813565	-0.692084	7.4212	0.828644	-1.26075	2.00811	-0.514649	6.73824	-3.53213	42.5434	-0.535595	-20.1887	12.5082	-2.00791	13.4826	-4.34684	0.61667	-0.0816414	-1.8205	0.436712	-0.0642593	-0.424411	-0.0772605	-0.0725498	-0.163466	-1.12598	8.23673	0.840955	0.346719	2.40696	-1.00934
4	5.37369	1.60114	39.0312	-1.42323	-17.3246	20.0402	4.27711	7.7455	0.0496347	0.297807	0.000184474	-1.00777	0.227424	0.0364642	0.110703	-0.0530568	0.0331024	0.150574	-0.755529	9.19332	0.37112	-1.11001	-1.2971	-0.602596	6.10451	0.814436	42.9847	-1.48173	-18.0072	19.8304	6.81788	8.78551	-3.26886	0.394663	-0.0315249	-1.37476	0.295122	0.0035039	0.0835171	-0.0381176	0.000470244	0.0262502	-1.31614	10.5444	0.526548	-1.07042	-0.863657	-0.200064	6.17301	-1.31311	45.7454	-1.20483	-20.6124	20.2643	8.5141	9.13404	-4.7059	0.314892	-0.0554	-1.71943	0.313655	-0.0367048	0.0826064	-0.0533809	-0.0600518	-0.0987957	-1.77955	11.9779	0.466961	0.211266	-0.768853	-0.408507	6.12374	1.71762	37.6543	0.585388	-20.6175	16.2275	-4.8561	11.5432	-0.724169	0.798218	-0.104919	-1.06213	0.511854	-0.023195	-0.0407516	-0.0388013	-0.06593	0.0952632	-0.590954	8.88416	0.91829	-1.36788	-0.445229	-0.516638	6.34279	-0.655792	40.5088	0.129182	-19.8859	15.5441	-5.59106	11.1778	-3.17839	0.864131	-0.112796	-1.40552	0.559541	-0.047107	-0.0528583	-0.078551	-0.088136	-0.0274655	-1.12403	10.6056	0.967743	-1.87815	-0.994512	-0.900555	6.9429	-2.9906	42.5338	-0.0485933	-19.5327	15.2651	-4.50746	12.1901	-4.47704	0.83197	-0.114908	-1.80007	0.579915	-0.0646219	-0.104226	-0.128025	-0.113467	-0.138655	-1.60255	11.9675	0.989942	-0.683335	0.413822	-1.50838
5	5.90208	2.41708	39.4097	-0.863346	-16.5097	23.6689	2.18017	5.79867	2.07406	0.509123	0.00747316	-0.991925	0.314118	0.0720821	0.480626	-0.0846655	0.0524247	0.295023	-1.06551	11.9219	0.293028	-1.64942	-4.55846	-1.29749	6.63742	1.50081	43.2166	-0.86466	-16.9463	23.3268	4.21453	6.75182	-1.35585	0.613487	-0.021778	-1.40067	0.418292	0.0567393	0.488267	-0.0740422	0.041292	0.161261	-1.68497	13.7818	0.487989	-1.85331	-4.62747	-0.638192	6.58	-1.15837	45.7592	-0.710817	-18.9845	23.2554	5.55815	7.09916	-3.0717	0.617452	-0.0496514	-1.78024	0.484865	0.0267841	0.495949	-0.0932066	-0.00348977	0.0393605	-2.20426	15.7172	0.423237	-0.823229	-4.37064	-0.631127	6.56792	2.55769	38.0779	1.24282	-19.6219	19.9593	-7.06102	9.54457	0.122278	0.930074	-0.137992	-0.961351	0.59673	-0.0246245	0.322445	-0.0691945	-0.13176	0.237546	-1.0353	11.4316	0.931824	-1.72584	-3.69998	-1.27518	6.78912	0.222436	40.9086	0.775461	-19.0944	19.2941	-7.97711	9.28982	-2.59085	1.02539	-0.147061	-1.33087	0.660503	-0.0463445	0.358517	-0.114694	-0.157627	0.115418	-1.63975	13.5884	1.002	-2.46054	-5.13212	-1.68258	7.17853	-2.40354	42.7055	0.56701	-18.5775	18.5016	-7.27319	10.3429	-4.08996	1.01769	-0.138672	-1.73543	0.700386	-0.0530377	0.310889	-0.178411	-0.17981	0.00125953	-2.09829	15.5555	1.0267	-1.65516	-3.20845	-2.14112
6	6.5222	3.11755	39.8573	-0.432475	-15.5332	27.3186	0.422274	3.71147	4.26759	0.793224	-0.003805	-0.952622	0.401085	0.0910218	0.925865	-0.116161	0.0562089	0.478668	-1.45126	14.4233	0.205095	-2.21555	-8.02353	-2.22123	7.22841	2.05843	43.5461	-0.334126	-15.6958	26.9177	1.77227	4.50381	0.907726	0.874241	-0.0080961	-1.4037	0.514593	0.108893	0.982012	-0.127497	0.0716156	0.36233	-2.08955	16.7219	0.361133	-2.6137	-8.96226	-1.6466	7.02336	-1.05709	45.923	-0.281105	-17.1123	26.4731	2.52331	4.75754	-0.964765	0.916899	-0.0177918	-1.79746	0.595477	0.105703	1.00178	-0.16392	0.049985	0.27795	-2.62759	19.0164	0.248749	-1.88144	-8.90531	-1.67798	7.10459	3.36216	38.5823	1.89735	-18.464	23.7987	-9.10454	7.24291	1.35674	1.11015	-0.167345	-0.896065	0.681316	-0.0291324	0.74181	-0.102281	-0.215118	0.425454	-1.56384	13.6363	0.879621	-2.21985	-7.35511	-2.351	7.3198	1.03761	41.411	1.43756	-18.0559	23.2107	-10.2383	7.00207	-1.49941	1.19541	-0.174322	-1.292	0.74282	-0.0474567	0.836063	-0.154368	-0.253342	0.32665	-2.20701	16.0974	0.94855	-3.11041	-9.67601	-2.99527	7.48509	-1.81737	43.0316	1.22063	-17.3886	22.0775	-10.0273	8.09343	-3.16454	1.18416	-0.146083	-1.6645	0.779863	-0.0349142	0.808913	-0.235883	-0.280254	0.243632	-2.61025	18.5464	0.941685	-2.57922	-8.07981	-3.32244
7	7.21073	3.60393	40.3412	-0.193267	-14.635	30.7729	-0.886689	1.82322	6.42287	1.07872	-0.0385303	-0.955191	0.48055	0.0901663	1.38637	-0.141855	0.0500963	0.681529	-1.82203	16.6515	0.175475	-2.77502	-10.6204	-3.12797	7.87675	2.41899	43.9305	-0.00344488	-14.5289	30.382	-0.269227	2.40101	3.26372	1.1634	-0.0203051	-1.42477	0.59313	0.132506	1.50782	-0.18038	0.0770222	0.600202	-2.47048	19.2532	0.256871	-3.31225	-12.5147	-3.00681	7.52752	-1.03257	46.1993	-0.0145105	-15.3339	29.7206	-0.253668	2.46451	1.35595	1.22693	-0.00133205	-1.78517	0.660497	0.156364	1.56138	-0.245709	0.0658148	0.57388	-3.03106	21.678	0.063445	-2.88371	-13.1586	-3.59165	7.72481	4.04757	39.1465	2.45854	-17.3117	27.5553	-10.8155	4.96615	2.82551	1.33797	-0.208684	-0.89519	0.775369	-0.0441347	1.18968	-0.134283	-0.307692	0.629912	-2.09651	15.5397	0.834514	-2.85831	-10.6597	-3.46497	7.92923	1.73213	41.9745	2.01778	-16.9447	27.0887	-12.1733	4.62971	-0.0423765	1.40674	-0.21395	-1.31367	0.825647	-0.0645975	1.35025	-0.193058	-0.368948	0.565151	-2.75742	18.1469	0.887555	-3.7891	-13.635	-4.56585	7.89712	-1.28563	43.4668	1.80149	-16.1258	25.7974	-12.5154	5.74196	-1.79633	1.39061	-0.162362	-1.62805	0.844804	-0.0334879	1.36431	-0.294101	-0.416039	0.537127	-3.12359	20.8159	0.822696	-3.44551	-13.2963	-5.08825
8	7.92746	3.8156	40.8386	-0.152244	-13.9265	33.8794	-1.74151	0.302831	8.46277	1.29723	-0.0862566	-1.02273	0.537474	0.0772471	1.80936	-0.161673	0.0429561	0.890731	-2.06347	18.6309	0.204133	-3.17588	-11.8267	-3.89013	8.56727	2.52977	44.3198	0.0707588	-13.596	33.5371	-1.77874	0.658443	5.57257	1.41566	-0.0577671	-1.49429	0.643539	0.127202	1.99714	-0.223974	0.0644939	0.851141	-2.71587	21.3907	0.220344	-3.79511	-14.2832	-4.35392	8.1066	-1.1257	46.5246	0.0260575	-13.8813	32.8019	-2.50941	0.50696	3.72724	1.5122	-0.0210377	-1.80007	0.694734	0.162548	2.09686	-0.318374	0.0426389	0.885099	-3.31221	23.7202	-0.0391448	-3.68716	-15.8179	-5.8136	8.39214	4.53933	39.7364	2.87411	-16.293	31.0436	-12.1325	2.97394	4.42355	1.5457	-0.264346	-0.968292	0.864825	-0.0679442	1.62312	-0.164749	-0.399574	0.834336	-2.50364	17.2777	0.830902	-3.40547	-12.7662	-4.40281	8.58891	2.25631	42.535	2.45286	-15.9299	30.7163	-13.6757	2.47674	1.65782	1.61768	-0.272575	-1.39668	0.906776	-0.0982125	1.85234	-0.229125	-0.489255	0.801803	-3.16482	19.9018	0.872192	-4.19014	-15.9711	-5.98651	8.42563	-0.86604	43.9323	2.22203	-14.9481	29.4311	-14.5542	3.59992	-0.0974688	1.63634	-0.212198	-1.66313	0.917119	-0.0612286	1.91967	-0.343647	-0.571618	0.832329	-3.53875	22.5142	0.757536	-4.12304	-17.3813	-6.96562
9	8.6133	3.76811	41.3144	-0.257671	-13.4047	36.5508	-2.2143	-0.847792	10.3818	1.44004	-0.134917	-1.10795	0.570123	0.0622634	2.17499	-0.178306	0.0413237	1.09519	-2.12367	20.3714	0.261912	-3.16866	-11.7446	-4.49107	9.25971	2.39312	44.6468	-0.0942583	-12.8952	36.2613	-2.73227	-0.696624	7.79355	1.59701	-0.109384	-1.57546	0.661429	0.103302	2.41358	-0.25568	0.0453185	1.0986	-2.75612	23.1737	0.242756	-3.73248	-14.1774	-5.48874	8.75087	-1.37474	46.8056	-0.176348	-12.7825	35.5564	-4.09239	-1.01527	6.09254	1.72774	-0.0723866	-1.84595	0.70212	0.134485	2.5526	-0.372775	-0.000264318	1.18366	-3.37949	25.2633	-0.0395884	-3.98757	-16.3354	-7.73414	9.03613	4.82261	40.2951	3.14201	-15.461	34.1142	-13.068	1.38301	6.09669	1.7011	-0.327397	-1.07102	0.939171	-0.0947516	2.01199	-0.194934	-0.484284	1.03257	-2.6934	18.9488	0.868204	-3.48354	-13.2771	-5.11319	9.24108	2.59677	43.0041	2.72422	-15.1011	33.9124	-14.7164	0.72325	3.52399	1.78795	-0.344459	-1.49366	0.976902	-0.140133	2.30047	-0.263163	-0.601151	1.02575	-3.32793	21.5084	0.912997	-3.87159	-16.2003	-7.04232	9.04249	-0.594598	44.3142	2.43909	-13.9396	32.7475	-16.0388	1.86033	1.84852	1.86343	-0.294199	-1.74281	0.988951	-0.109979	2.42029	-0.383632	-0.72417	1.10391	-3.7376	23.8754	0.776043	-4.19871	-19.0398	-8.47483
