PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	3.06637	1.17248	35.3564	2.81559	-12.616	21.7051	-0.030387	11.4772	13.5326	-0.0107026	-0.0287783	-0.588669	0.0406608	0.00995857	-0.256876	-0.0024361	-0.0015	-0.0157184	-0.395118	0.591942	-0.0429791	1.38591	-0.683742	-0.0690284	5.62334	1.47106	41.0792	2.17319	-11.4479	24.4653	1.16584	10.0284	14.0991	0.0993831	-0.0501935	-0.719362	0.053413	-0.0013285	-0.374649	1.375e-06	-0.0175878	-0.0144744	-0.387248	0.656445	-0.00275825	3.06909	-1.76836	-0.0507588	7.27835	0.326352	46.3477	1.99267	-10.3386	24.5177	3.14769	10.704	13.9545	0.153257	-0.0632105	-0.901956	0.0826587	0.0054972	-0.508317	-0.00334061	-0.0186193	0.0123889	-0.370386	0.706904	0.0380663	4.7731	-2.33383	0.00272593	1.96843	4.57021	34.5179	4.59844	-14.4701	15.3814	-8.67227	13.717	7.20699	-0.102919	0.000673462	-0.709627	-0.0241435	0.0351769	-0.344338	-0.0204413	0.0284171	-0.0112454	-0.338375	0.635447	-0.00869346	1.62716	-0.546762	-0.0566612	2.79381	3.29764	39.3031	4.90722	-14.6074	15.1639	-8.16181	14.4287	8.33931	-0.0484217	0.000554875	-0.839373	-0.0381376	0.0449845	-0.429768	-0.0244706	0.0423836	-0.0174765	-0.271473	0.743718	-0.0067995	3.06143	-0.734582	-0.0666608	3.84136	2.17735	44.6383	5.30427	-14.7502	16.3882	-6.19055	13.8361	8.47942	-0.0484828	-0.00888687	-1.06455	-0.0418441	0.0530736	-0.56573	-0.0150388	0.0496331	-0.0014641	-0.275219	0.730434	0.0174234	4.78897	-1.04259	-0.000514074
1	3.27609	1.4581	34.3593	3.08362	-12.7676	20.823	-0.793853	11.8744	11.4275	0.0678118	-0.0264048	-0.630602	0.0749351	0.010917	-0.200959	-0.0131026	0.0115204	-0.0778636	-0.549629	1.58467	-0.0520005	1.29694	-0.338217	-0.460103	6.06822	2.09925	39.3334	2.4821	-11.39	22.8734	0.405657	10.5652	11.8572	0.17894	-0.0508469	-0.768064	0.100854	-0.00364363	-0.257818	-0.00917312	-0.00207487	-0.111878	-0.643777	1.94665	0.0147251	2.80234	-0.894908	-0.721752	7.96222	1.06476	44.1734	2.15765	-10.3034	22.8387	2.35479	11.1171	11.6906	0.223455	-0.0680198	-0.994971	0.134778	-0.00482012	-0.379756	-0.00894085	-0.00895988	-0.106966	-0.674345	2.14617	0.0756406	4.53126	-1.18352	-0.851562	2.23199	4.74037	33.5769	4.7444	-14.996	14.886	-9.04336	13.7282	5.56765	-0.0118787	-0.00819808	-0.728604	0.00160192	0.0167831	-0.290781	-0.0377282	0.0174163	-0.0633837	-0.490206	1.69079	0.0278171	1.40315	-0.0795923	-0.315449	3.51509	3.84897	37.9009	5.14756	-15.4067	14.7174	-8.71252	14.1987	6.53483	0.032042	-0.00861113	-0.892421	-0.00576437	0.0199148	-0.344976	-0.0487124	0.0310654	-0.107616	-0.485279	2.08034	0.0376171	2.52743	-0.0138038	-0.574348	4.82668	2.66184	42.97	5.54522	-15.6228	15.8729	-6.83939	13.506	6.80557	0.0111178	-0.0285722	-1.17821	0.00219735	0.0217243	-0.468829	-0.0407386	0.0344366	-0.117852	-0.541441	2.17719	0.077384	4.11146	0.0148544	-0.654846
2	3.58159	1.87451	33.4902	3.4094	-13.398	20.4966	-1.96403	12.1507	8.8456	0.157501	-0.027251	-0.717965	0.12431	0.00975545	-0.128204	-0.0309706	0.0270892	-0.160029	-0.657824	3.0931	-0.0456918	1.11796	-0.0794464	-1.05707	6.60662	2.92012	37.8275	2.92081	-11.9089	21.9821	-0.926036	10.8251	8.95134	0.268895	-0.0570536	-0.894634	0.173913	-0.00965238	-0.131035	-0.0245841	0.0186054	-0.247763	-0.912959	3.92898	0.0477924	2.5196	-0.364898	-1.92595	8.69339	2.04424	42.3512	2.53304	-10.8697	21.9325	0.87743	11.0168	8.68794	0.294049	-0.0776454	-1.18965	0.205591	-0.0203761	-0.251109	-0.0186596	0.00498402	-0.274664	-1.03581	4.34841	0.125422	4.22267	-0.512433	-2.49843	2.59844	5.02603	32.7901	5.01061	-15.6001	15.0536	-9.78284	13.5482	3.67682	0.0996259	-0.0204701	-0.771511	0.0498301	-0.00516756	-0.213152	-0.0620424	0.000705513	-0.123864	-0.626463	3.27893	0.0942631	1.08567	0.202492	-0.678462	4.31972	4.56141	36.8017	5.53691	-16.1702	15.0562	-9.72475	13.7078	4.24499	0.15619	-0.0214538	-0.967414	0.066343	-0.00699038	-0.231562	-0.0833315	0.016729	-0.2212	-0.740974	4.10093	0.117277	1.84684	0.304181	-1.45961	5.84151	3.3827	41.6862	6.0012	-16.5443	16.1957	-8.08208	12.9159	4.57222	0.139235	-0.0509206	-1.31521	0.0940113	-0.0117636	-0.345569	-0.0813448	0.0161182	-0.267987	-0.880516	4.37855	0.171187	3.13399	0.463824	-1.95307
3	3.99742	2.3201	32.8152	3.72375	-14.2522	20.8543	-3.40012	12.2576	6.26101	0.276668	-0.0334964	-0.810353	0.199891	0.00930896	-0.00689377	-0.0546238	0.044567	-0.244614	-0.708914	5.08981	-0.0120419	0.701223	-0.119205	-1.4973	7.22521	3.77373	36.649	3.43784	-12.6606	21.9293	-2.79255	10.6823	5.79618	0.400411	-0.0690501	-1.01756	0.287381	-0.012546	0.0447421	-0.0480864	0.0470702	-0.39727	-1.15485	6.54385	0.0980706	1.82028	-0.438013	-3.09539	9.44944	3.07703	40.9592	3.08642	-11.6587	21.8865	-1.26941	10.3281	5.24379	0.406602	-0.0915918	-1.36541	0.314719	-0.0312615	-0.068668	-0.0367089	0.0304846	-0.468165	-1.41735	7.25293	0.178504	3.13372	-0.501904	-4.36592	3.0439	5.31396	32.1953	5.38387	-16.0429	15.9527	-10.8014	13.1893	1.95544	0.221538	-0.0406556	-0.826619	0.127422	-0.031	-0.0967601	-0.0873981	-0.0261331	-0.169534	-0.736646	5.32432	0.184037	0.659465	0.0832154	-0.875163	5.15345	5.25377	36.0059	6.0715	-16.6537	16.2051	-11.1333	13.0191	1.87793	0.327578	-0.0432824	-1.01832	0.191138	-0.0348296	-0.0628011	-0.121717	-0.006159	-0.324916	-1.02129	6.70289	0.227201	0.970888	-0.0893746	-2.19611	6.83291	4.14062	40.7751	6.65698	-17.2797	17.3484	-9.86336	12.1805	2.09521	0.339727	-0.0801236	-1.41895	0.247805	-0.0451927	-0.166377	-0.131717	-0.00947072	-0.414676	-1.26409	7.24265	0.2907	1.81411	0.0139967	-3.284
4	4.52495	2.69796	32.3895	3.96412	-15.0597	21.9853	-4.85373	12.1894	4.22221	0.435691	-0.0524492	-0.832648	0.30752	0.00563117	0.216852	-0.0779451	0.0559627	-0.309596	-0.766508	7.43287	0.0539474	-0.0438324	-0.909331	-1.37175	7.90359	4.48891	35.8656	3.96671	-13.3148	22.8126	-4.93627	10.1401	3.00242	0.582332	-0.0944935	-1.02898	0.441904	-0.016241	0.3373	-0.0755396	0.0709566	-0.519616	-1.39452	9.55722	0.160686	0.532923	-1.65059	-3.28297	10.2124	3.96308	40.0492	3.75281	-12.3449	22.7628	-3.82429	9.1749	1.92487	0.584207	-0.115897	-1.37961	0.472656	-0.0365878	0.248382	-0.0628313	0.0594715	-0.636727	-1.82356	10.5995	0.21819	1.15296	-1.81413	-5.11991	3.54155	5.48756	31.8144	5.83631	-16.0814	17.5965	-11.9608	12.6498	0.832573	0.33459	-0.0670576	-0.844931	0.230266	-0.0562886	0.0908745	-0.109321	-0.0626705	-0.177752	-0.850958	7.5985	0.261433	0.118379	-0.727382	-0.769105	5.96699	5.74491	35.4962	6.72729	-16.6142	18.1495	-12.79	12.1574	-0.0188358	0.51118	-0.0730561	-1.0038	0.356121	-0.0583112	0.193216	-0.156967	-0.0402109	-0.375709	-1.3291	9.5756	0.331165	-0.00403615	-1.58928	-2.18194	7.76179	4.70267	40.2073	7.46628	-17.5441	19.3097	-12.01	11.349	-0.0894181	0.571901	-0.116563	-1.43359	0.451777	-0.0723772	0.105461	-0.182003	-0.0459602	-0.500373	-1.67098	10.4362	0.399437	0.31665	-1.70523	-3.65108
5	5.15104	2.93798	32.2353	4.09869	-15.5836	23.8816	-6.09588	11.9557	3.12167	0.607013	-0.0845427	-0.773916	0.430842	-0.00138883	0.551724	-0.0936719	0.056243	-0.329457	-0.911739	9.85633	0.127078	-0.906788	-2.94742	-0.669474	8.62752	4.93026	35.5042	4.42841	-13.6415	24.6352	-6.99857	9.34121	1.13218	0.792111	-0.136272	-0.919182	0.615054	-0.0232758	0.768891	-0.099097	0.0773942	-0.570682	-1.70176	12.5721	0.208649	-0.966678	-4.67888	-2.14745	10.9844	4.53963	39.6344	4.42717	-12.7308	24.5716	-6.39704	7.84829	-0.606327	0.809972	-0.155892	-1.22895	0.664296	-0.0399209	0.725362	-0.0911448	0.0752941	-0.720512	-2.28804	13.9361	0.216366	-1.00955	-5.27892	-3.89947	4.07196	5.46359	31.6425	6.31305	-15.5486	19.9057	-13.1297	11.9222	0.543632	0.418808	-0.0938692	-0.814689	0.337357	-0.0765142	0.355004	-0.127175	-0.107882	-0.133455	-1.00723	9.80166	0.271151	-0.415512	-2.4171	-0.57611	6.73821	5.90507	35.248	7.42667	-15.8871	20.8136	-14.514	11.1377	-1.00954	0.658496	-0.108214	-0.94479	0.523929	-0.0764879	0.539162	-0.184904	-0.0898972	-0.343115	-1.66709	12.2894	0.362627	-0.9055	-4.36027	-1.52488	8.61871	4.86971	39.9485	8.3175	-17.0837	22.0307	-14.2822	10.4233	-1.44942	0.771874	-0.159545	-1.37401	0.664338	-0.0915602	0.481087	-0.223383	-0.099402	-0.481058	-2.08569	13.4524	0.432183	-1.10805	-4.85701	-2.85666
6	5.85778	3.00683	32.3246	4.12838	-15.6455	26.4149	-7.00787	11.5348	3.06888	0.739706	-0.122111	-0.693169	0.538474	-0.00793935	0.961246	-0.0996004	0.0444657	-0.289485	-1.15874	12.1089	0.164468	-1.61511	-6.10724	0.119482	9.40623	5.03577	35.5282	4.73779	-13.5461	27.2678	-8.68706	8.48588	0.485596	0.988787	-0.188133	-0.794058	0.768033	-0.0310201	1.29489	-0.1159	0.0613246	-0.526797	-2.0884	15.2362	0.201498	-2.29419	-9.32821	-0.452291	11.7978	4.72504	39.6703	4.97492	-12.7575	27.2317	-8.64305	6.67676	-1.84796	1.04037	-0.207951	-1.06921	0.847522	-0.0417496	1.30291	-0.118909	0.0661759	-0.683164	-2.78989	16.8307	0.142696	-2.83973	-10.6734	-1.45532	4.6374	5.2115	31.6394	6.72533	-14.4309	22.703	-14.2154	11.0327	1.05908	0.501712	-0.117324	-0.761147	0.440324	-0.0888396	0.681277	-0.143578	-0.158175	-0.0406832	-1.23137	11.768	0.213098	-0.888305	-4.77932	-0.61761	7.49267	5.68972	35.2325	8.02268	-14.4842	24.0429	-16.1411	10.0254	-0.949451	0.769641	-0.143915	-0.905725	0.666341	-0.089046	0.955095	-0.208538	-0.153856	-0.230945	-2.02958	14.5952	0.293853	-1.74872	-8.00929	-0.96929	9.43808	4.54406	39.959	9.01947	-15.8101	25.4013	-16.4407	9.42713	-1.70013	0.915165	-0.203159	-1.32471	0.843411	-0.101415	0.944295	-0.257132	-0.168605	-0.358505	-2.4979	15.9577	0.348375	-2.403	-9.07583	-1.83709
7	6.63946	2.90005	32.5768	4.05077	-15.1401	29.3536	-7.58238	10.8676	3.90585	0.852297	-0.163594	-0.647047	0.628904	-0.0104645	1.40363	-0.0965368	0.0241034	-0.197445	-1.47879	14.0833	0.171762	-2.17028	-9.56558	0.477639	10.2775	4.8203	35.8253	4.809	-13.0464	30.4477	-9.85506	7.71699	1.03112	1.18389	-0.249882	-0.752363	0.892504	-0.036097	1.85297	-0.125497	0.0283971	-0.402905	-2.5048	17.4341	0.161327	-3.51388	-14.2678	0.683644	12.7087	4.52692	40.0327	5.25223	-12.4621	30.5315	-10.3445	5.87414	-1.64769	1.27184	-0.269818	-1.04538	0.998337	-0.0390139	1.90264	-0.145713	0.0352078	-0.540341	-3.2541	19.1181	0.027893	-4.52545	-16.4414	0.529789	5.27109	4.73552	31.7343	6.95928	-12.8671	25.7465	-15.1612	10.0685	2.17357	0.64325	-0.149697	-0.718879	0.552442	-0.0997532	1.04831	-0.156386	-0.212073	0.0819315	-1.5306	13.4971	0.161292	-1.42134	-7.20289	-0.965356	8.30045	5.12708	35.4001	8.33021	-12.6103	27.6006	-17.5471	8.95447	0.0297279	0.913166	-0.193013	-0.919442	0.796035	-0.103739	1.41916	-0.227131	-0.228533	-0.0700694	-2.41064	16.516	0.203575	-2.74395	-11.6651	-1.00959	10.2946	3.75252	40.1742	9.34181	-13.8775	29.2128	-18.2934	8.44802	-0.876562	1.0571	-0.25666	-1.34748	0.987727	-0.109568	1.47437	-0.28544	-0.249212	-0.174085	-2.90626	17.9727	0.214043	-3.72312	-13.4963	-1.48784
8	7.50586	2.62303	32.8766	3.82803	-14.065	32.4071	-7.88036	9.92092	5.32287	1.02775	-0.220947	-0.633958	0.72851	-0.00987143	1.85356	-0.0854691	-0.000238701	-0.076149	-1.82277	15.8145	0.202212	-2.78205	-12.2317	0.304565	11.2835	4.34553	36.2161	4.57302	-12.2282	33.8136	-10.4956	7.08215	2.48082	1.43243	-0.336596	-0.779212	1.01458	-0.0405325	2.40527	-0.124339	-0.0117898	-0.237619	-2.87886	19.272	0.173349	-4.8061	-17.7336	0.824433	13.7698	4.01257	40.5122	5.13722	-11.9229	34.1205	-11.4114	5.48192	-0.223283	1.55261	-0.36387	-1.12966	1.13768	-0.0411428	2.49146	-0.161043	-0.0116422	-0.343169	-3.61577	20.9265	-0.0203029	-6.24588	-20.5563	1.14543	6.02282	4.04188	31.8396	6.91017	-11.0552	28.7842	-15.9389	9.14404	3.64778	0.83637	-0.200633	-0.721652	0.666753	-0.113853	1.42143	-0.165371	-0.268533	0.219879	-1.84399	15.0647	0.165882	-2.11417	-8.8513	-1.49009	9.23576	4.27454	35.6525	8.20483	-10.5458	31.1904	-18.6591	8.06502	1.66417	1.11385	-0.271058	-0.98206	0.921373	-0.126454	1.89437	-0.238706	-0.309587	0.112755	-2.74624	18.1948	0.182714	-3.93527	-14.1046	-1.57214	11.2693	2.6113	40.4726	9.11208	-11.6001	33.1517	-19.7245	7.59921	0.774131	1.25405	-0.349498	-1.43219	1.11808	-0.133963	2.03561	-0.300455	-0.342395	0.0345322	-3.25664	19.6955	0.153437	-5.09875	-16.702	-1.90582
9	8.45767	2.18261	33.1007	3.41796	-12.5438	35.2893	-7.99561	8.761	7.01011	1.27725	-0.297311	-0.635	0.836143	-0.00673766	2.28158	-0.0706408	-0.024414	0.0563669	-2.10591	17.3798	0.275891	-3.47522	-13.2361	-0.178191	12.4256	3.68491	36.491	4.01611	-11.1984	36.9874	-10.7063	6.57663	4.45928	1.71387	-0.445684	-0.817139	1.12957	-0.0428689	2.91543	-0.113981	-0.0501841	-0.0604309	-3.10896	20.8969	0.265033	-5.90711	-18.4192	0.247277	14.9877	3.27169	40.8475	4.58042	-11.2127	37.5774	-11.8787	5.41455	1.99826	1.86325	-0.495585	-1.21849	1.26625	-0.0519854	3.04203	-0.157857	-0.065108	-0.13281	-3.79191	22.4563	0.0523955	-7.49164	-21.4069	0.633415	6.91713	3.14109	31.8653	6.53592	-9.15422	31.594	-16.5521	8.33274	5.29123	1.02425	-0.267795	-0.766854	0.762616	-0.129413	1.76939	-0.173545	-0.32543	0.365808	-2.07872	16.5394	0.224379	-2.81907	-9.22718	-2.05928	10.3221	3.20064	35.8357	7.61978	-8.49658	34.5119	-19.4596	7.41259	3.69026	1.31803	-0.372176	-1.06708	1.02387	-0.151921	2.33524	-0.247064	-0.391444	0.306419	-2.93737	19.7434	0.244402	-4.90896	-14.4575	-2.40266	12.3992	1.28056	40.6676	8.31209	-9.27166	36.8598	-20.7085	6.93373	2.94902	1.47306	-0.478946	-1.53262	1.22595	-0.170211	2.57123	-0.304618	-0.440933	0.2533	-3.43963	21.2807	0.203196	-5.98094	-17.4787	-2.79748
